content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
2023-10-31 10:01:24,Muhammad Idris,Kompas.com,"Israel, Palestina, ekonomi palestina",Gambaran Susahnya Kehidupan Ekonomi dan Pekerjaan Warga Palestina - Kompas.com,660,Standard,http://money.kompas.com/read/2023/10/31/100124026/gambaran-susahnya-kehidupan-ekonomi-dan-pekerjaan-warga-palestina
"31 Oktober 2023, 09:57 WIB",Hanindiya Dwi Lestari,Kompas.com,unknown,Putin Tuduh Barat Picu Kerusuhan di Dagestan,unknown,Video,https://video.kompas.com/watch/991575/putin-tuduh-barat-picu-kerusuhan-di-dagestan
"31 Oktober 2023, 08:48 WIB",unknown,Kompas.com,unknown,Netanyahu Tegaskan Israel Tak Akan Penuhi Permintaan Penghentian Perang dengan Hamas,unknown,Video,https://video.kompas.com/watch/991451/netanyahu-tegaskan-israel-tak-akan-penuhi-permintaan-penghentian-perang-dengan-hamas
"31 Oktober 2023, 06:06 WIB",unknown,Kompas.com,unknown,"Puluhan Tank Israel dan Kendaraan Lapis Baja Masuk ke Gaza, Serang Mobil-mobil",unknown,Video,https://video.kompas.com/watch/991340/puluhan-tank-israel-dan-kendaraan-lapis-baja-masuk-ke-gaza-serang-mobil-mobil
"30 Oktober 2023, 21:57 WIB",Anggie Puspariana,Kompas.com,unknown,Amerika Janji Tak Kerahkan Tentara ke Israel dan Gaza,unknown,Video,https://video.kompas.com/watch/991078/amerika-janji-tak-kerahkan-tentara-ke-israel-dan-gaza
"30 Oktober 2023, 21:29 WIB",unknown,Kompas.com,unknown,"Profil Mahmoud Abbas: Presiden Palestina, Pendiri Organisasi Fatah untuk Tentang Israel",unknown,Video,https://video.kompas.com/watch/991043/profil-mahmoud-abbas-presiden-palestina-pendiri-organisasi-fatah-untuk-tentang-israel
"30 Oktober 2023, 19:30 WIB",unknown,Kompas.com,unknown,Suara Dentuman di Jalur Gaza di Tengah Serangan Israel,unknown,Video,https://video.kompas.com/watch/990773/suara-dentuman-di-jalur-gaza-di-tengah-serangan-israel
"30 Oktober 2023, 19:27 WIB",unknown,Kompas.com,unknown,Cerita Warga yang Ketakutan Akan Serangan Israel ke Jalur Gaza,unknown,Video,https://video.kompas.com/watch/990745/cerita-warga-yang-ketakutan-akan-serangan-israel-ke-jalur-gaza
2023-10-30 19:03:16,Irawan Sapto Adhi,Kompas.com,"tepi barat, perang Hamas-Israel, warga gaza mengungsi",Sejumlah Negara Minta Israel Lindungi Warga Sipil Palestina di Gaza maupun Tepi Barat - Kompas.com,558,Standard,http://www.kompas.com/global/read/2023/10/30/190316570/sejumlah-negara-minta-israel-lindungi-warga-sipil-palestina-di-gaza
2023-10-30 18:06:23,Krisiandi,Kompas.com,"Indonesia, Palestina, bantuan indonesia untuk palestina",Presiden Jokowi: Indonesia Akan Kirim Bantuan ke Palestina Pekan Ini - Kompas.com,247,Standard,http://nasional.kompas.com/read/2023/10/30/18062391/presiden-jokowi-indonesia-akan-kirim-bantuan-ke-palestina-pekan-ini
2023-10-30 17:56:37,Novianti Setuningsih,Kompas.com,"Indonesia, Jokowi, Gaza, Israel-Palestina, perang hamas israel, perang israel hamas","Situasi di Gaza Memburuk, Jokowi: Indonesia Sangat Marah  - Kompas.com",400,Standard,http://nasional.kompas.com/read/2023/10/30/17563741/situasi-di-gaza-memburuk-jokowi-indonesia-sangat-marah
"30 Oktober 2023, 16:30 WIB",unknown,Kompas.com,unknown,"Ejek Pasukan Israel Lemah, Iran Yakin Hamas Unggul di Pertempuran Darat",unknown,Video,https://video.kompas.com/watch/990186/ejek-pasukan-israel-lemah-iran-yakin-hamas-unggul-di-pertempuran-darat
"30 Oktober 2023, 16:20 WIB",unknown,Kompas.com,unknown,"Pesawat dari Israel Dikepung Massa Pro Palestina di Bandara Rusia, 2 Orang Kritis",unknown,Video,https://video.kompas.com/watch/990110/pesawat-dari-israel-dikepung-massa-pro-palestina-di-bandara-rusia-2-orang-kritis
"30 Oktober 2023, 15:09 WIB",unknown,Kompas.com,unknown,Negara yang Mendukung dan Menolak Gencatan Senjata di Gaza,unknown,Video,https://video.kompas.com/watch/989845/negara-yang-mendukung-dan-menolak-gencatan-senjata-di-gaza
"30 Oktober 2023, 13:58 WIB",Hanindiya Dwi Lestari,Kompas.com,unknown,Serangan Terbaru Israel Hantam Wilayah Dekat Rumah Sakit Terbesar di Gaza,unknown,Video,https://video.kompas.com/watch/989602/serangan-terbaru-israel-hantam-wilayah-dekat-rumah-sakit-terbesar-di-gaza
"30 Oktober 2023, 11:55 WIB",Musayadah Khusnul Khotimah,Kompas.com,unknown,Penampakan Barisan Tank Israel Mulai Merapat ke Gaza Utara,unknown,Video,https://video.kompas.com/watch/989143/penampakan-barisan-tank-israel-mulai-merapat-ke-gaza-utara
"30 Oktober 2023, 11:52 WIB",Vina Muthi Ambarwati,Kompas.com,unknown,Israel Luncurkan Operasi Darat Tandai Fase Kedua Serangan di Gaza,unknown,Video,https://video.kompas.com/watch/989142/israel-luncurkan-operasi-darat-tandai-fase-kedua-serangan-di-gaza
"30 Oktober 2023, 11:14 WIB",Vina Muthi Ambarwati,Kompas.com,unknown,Penampakan Kendaraan Militer Israel di Gaza,unknown,Video,https://video.kompas.com/watch/988968/penampakan-kendaraan-militer-israel-di-gaza
"30 Oktober 2023, 10:24 WIB",unknown,Kompas.com,unknown,Suara Ledakan di Jalur Gaza di Tengah Serangan Israel,unknown,Video,https://video.kompas.com/watch/988813/suara-ledakan-di-jalur-gaza-di-tengah-serangan-israel
"30 Oktober 2023, 10:15 WIB",Hanindiya Dwi Lestari,Kompas.com,unknown,PM Israel Minta Maaf Usai Kecam Pemimpin Intelijennya terkait Hamas,unknown,Video,https://video.kompas.com/watch/988809/pm-israel-minta-maaf-usai-kecam-pemimpin-intelijennya-terkait-hamas
"30 Oktober 2023, 06:06 WIB",unknown,Kompas.com,unknown,Brigade Al Qassam Yakin Bisa Patahkan Serangan Israel,unknown,Video,https://video.kompas.com/watch/988581/brigade-al-qassam-yakin-bisa-patahkan-serangan-israel
"29 Oktober 2023, 20:45 WIB",Musayadah Khusnul Khotimah,Kompas.com,unknown,"Di Depan Ribuan Rakyat Turkiye, Erdogan Bakal Buat Israel Dicap Penjahat Perang di Mata Dunia",unknown,Video,https://video.kompas.com/watch/988353/di-depan-ribuan-rakyat-turkiye-erdogan-bakal-buat-israel-dicap-penjahat-perang-di-mata-dunia
"29 Oktober 2023, 15:40 WIB",unknown,Kompas.com,unknown,"Barisan Tank Israel Mulai Merapat ke Gaza Utara, Serangan Darat Semakin Dekat",unknown,Video,https://video.kompas.com/watch/987788/barisan-tank-israel-mulai-merapat-ke-gaza-utara-serangan-darat-semakin-dekat
2023-10-29 13:51:53,Bagus Santosa,Kompas.com,"Palestina, Jawa Timur, Muhaimin Iskandar, Cak Imin","Janji Bantu Rakyat Palestina, Cak Imin Mau Gerakkan Masyarakat Sipil - Kompas.com",406,Standard,http://nasional.kompas.com/read/2023/10/29/13515391/janji-bantu-rakyat-palestina-cak-imin-mau-gerakkan-masyarakat-sipil
2023-10-29 09:36:12,Krisiandi,Kompas.com,"Palestina, Muhaimin Iskandar, anies-muhaimin, Anies Cak Imin","Cak Imin: Anies-Muhaimin Menang, Kita Tolong Saudara di Palestina - Kompas.com",531,Standard,http://nasional.kompas.com/read/2023/10/29/09361231/cak-imin-anies-muhaimin-menang-kita-tolong-saudara-di-palestina
"29 Oktober 2023, 08:47 WIB",unknown,Kompas.com,unknown,"Israel Klaim Telah Memulai Serangan Darat, Listrik Gaza Padam",unknown,Video,https://video.kompas.com/watch/987036/israel-klaim-telah-memulai-serangan-darat-listrik-gaza-padam
"28 Oktober 2023, 20:49 WIB",unknown,Kompas.com,unknown,Israel Kembali Lancarkan Serangan Udara di Gaza #Shorts,unknown,Video,https://video.kompas.com/watch/986794/israel-kembali-lancarkan-serangan-udara-di-gaza-hamas-siap-lawan-dengan-kekuatan-penuh-shorts
"28 Oktober 2023, 17:21 WIB",unknown,Kompas.com,unknown,"Israel Kembali Lancarkan Serangan Udara di Gaza, Hamas Siap Lawan dengan Kekuatan Penuh",unknown,Video,https://video.kompas.com/watch/986422/israel-kembali-lancarkan-serangan-udara-di-gaza-hamas-siap-lawan-dengan-kekuatan-penuh
2023-10-28 13:13:00,Bayu Galih,Kompas.com,"Israel, Palestina, klarifikasi, cek fakta, konteks keliru",[KLARIFIKASI] Video Ayah dan Putrinya Tertawa Saat Serangan Udara Israel - Kompas.com,259,Standard,http://www.kompas.com/cekfakta/read/2023/10/28/131300282/-klarifikasi-video-ayah-dan-putrinya-tertawa-saat-serangan-udara-israel
"27 Oktober 2023, 23:57 WIB",unknown,Kompas.com,unknown,PM Israel Netanyahu Tegaskan Negaranya Memang Perlu Hancurkan Hamas,unknown,Video,https://video.kompas.com/watch/985246/pm-israel-netanyahu-tegaskan-negaranya-memang-perlu-hancurkan-hamas
"27 Oktober 2023, 17:18 WIB",Meiva Jufarani,Kompas.com,unknown,Stok Kain Kafan di Gaza Menipis,unknown,Video,https://video.kompas.com/watch/984248/stok-kain-kafan-di-gaza-menipis
"27 Oktober 2023, 17:09 WIB",Rizkia Shindy,Kompas.com,unknown,Tegas! Retno Marsudi Minta Dewan Keamanan PBB Lindungi Sipil di Palestina,unknown,Video,https://video.kompas.com/watch/984243/tegas-retno-marsudi-minta-dewan-keamanan-pbb-lindungi-sipil-di-palestina
2023-10-27 16:45:00,Kristian Erdianto,Kompas.com,"klarifikasi, cek fakta",[KLARIFIKASI] Video Masjid Dibom Bukan Berlokasi di Palestina - Kompas.com,296,Standard,http://www.kompas.com/cekfakta/read/2023/10/27/164500082/-klarifikasi-video-masjid-dibom-bukan-berlokasi-di-palestina
"27 Oktober 2023, 16:41 WIB",Vina Muthi Ambarwati,Kompas.com,unknown,Menlu Retno Minta PBB Tolak Pemindahan Paksa Warga Palestina di Gaza,unknown,Video,https://video.kompas.com/watch/984212/menlu-retno-minta-pbb-tolak-pemindahan-paksa-warga-palestina-di-gaza
2023-10-27 15:37:23,Nursita Sari,Kompas.com,"Jalan medan merdeka barat dibuka kembali, demo buruh patung kuda, Demo buruh di kantor pbb soal palestina","Demo Buruh Selesai, Jalan Medan Merdeka Barat Arah Harmoni Kembali Dibuka - Kompas.com",156,Standard,http://megapolitan.kompas.com/read/2023/10/27/15372351/demo-buruh-selesai-jalan-medan-merdeka-barat-arah-harmoni-kembali-dibuka
"27 Oktober 2023, 15:35 WIB",unknown,Kompas.com,unknown,Pejabat Senior Hamas Persilakan Kelompok Lain Bantu Bertempur Lawan Israel,unknown,Video,https://video.kompas.com/watch/983858/pejabat-senior-hamas-persilakan-kelompok-lain-bantu-bertempur-lawan-israel
