content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
"13 Desember 2023, 20:09 WIB",unknown,Kompas.com,unknown,"Kembali ke Tanah Air, Relawan MER-C Ungkap Sulitnya Keluar dari Jalur Gaza",unknown,Video,https://video.kompas.com/watch/1094181/kembali-ke-tanah-air-relawan-mer-c-ungkap-sulitnya-keluar-dari-jalur-gaza
"13 Desember 2023, 19:02 WIB",unknown,Kompas.com,unknown,Cerita Relawan MER-C soal RS Indonesia di Gaza Diancam Tentara Israel,unknown,Video,https://video.kompas.com/watch/1094051/cerita-relawan-mer-c-soal-rs-indonesia-di-gaza-diancam-tentara-israel
"13 Desember 2023, 18:46 WIB",unknown,Kompas.com,unknown,"153 Negara Dukung Gencatan Senjata di Gaza, Israel Kehilangan Dukungan, AS Terisolasi",unknown,Video,https://video.kompas.com/watch/1094046/153-negara-dukung-gencatan-senjata-di-gaza-israel-kehilangan-dukungan-as-terisolasi
"13 Desember 2023, 18:28 WIB",unknown,Kompas.com,unknown,"Belasan Ribu Warga Sipil Tewas, Israel Klaim Sudah Lakukan Pemisahan Target Serangan",unknown,Video,https://video.kompas.com/watch/1093933/belasan-ribu-warga-sipil-tewas-israel-klaim-sudah-lakukan-pemisahan-target-serangan
"13 Desember 2023, 18:04 WIB",Muhammad Dava Arrifa,Kompas.com,unknown,Biden Sebut Dukungan Dunia untuk Israel Mulai Rontok,unknown,Video,https://video.kompas.com/watch/1093879/biden-sebut-dukungan-dunia-untuk-israel-mulai-rontok
"13 Desember 2023, 17:43 WIB",Arini Kusuma Jati,Kompas.com,unknown,"Ketegangan Meningkat, Houthi Yaman Siap Berperang Lawan Israel",unknown,Video,https://video.kompas.com/watch/1093868/ketegangan-meningkat-houthi-yaman-siap-berperang-lawan-israel
"13 Desember 2023, 17:42 WIB",unknown,Kompas.com,unknown,Menlu Iran Beri Jaminan Israel dan AS Tak Akan Mampu Lenyapkan Hamas,unknown,Video,https://video.kompas.com/watch/1093867/menlu-iran-beri-jaminan-israel-dan-as-tak-akan-mampu-lenyapkan-hamas
"13 Desember 2023, 16:23 WIB",Vina Muthi Ambarwati,Kompas.com,unknown,Israel Mulai Memompa Air Laut ke Terowongan Bawah Tanah Hamas di Gaza,unknown,Video,https://video.kompas.com/watch/1093560/israel-mulai-memompa-air-laut-ke-terowongan-bawah-tanah-hamas-di-gaza
"13 Desember 2023, 16:10 WIB",Hanindiya Dwi Lestari,Kompas.com,unknown,"Serangan Israel Kembali Lukai Anak-anak Palestina, RS Khan Younis Makin Penuh",unknown,Video,https://video.kompas.com/watch/1093549/serangan-israel-kembali-lukai-anak-anak-palestina-rs-khan-younis-makin-penuh
"13 Desember 2023, 15:30 WIB",Novyana Nurmita Dewi,Kompas.com,unknown,Menteri Palestina Sebut Satu Juta Warga Gaza Kelaparan Imbas Perang,unknown,Video,https://video.kompas.com/watch/1093471/menteri-palestina-sebut-satu-juta-warga-gaza-kelaparan-imbas-perang
"13 Desember 2023, 14:34 WIB",Musayadah Khusnul Khotimah,Kompas.com,unknown,10 Negara yang Menolak Resolusi PBB untuk Gencatan Senjata di Gaza,unknown,Video,https://video.kompas.com/watch/1093345/10-negara-yang-menolak-resolusi-pbb-untuk-gencatan-senjata-di-gaza
"13 Desember 2023, 13:42 WIB",unknown,Kompas.com,unknown,Hamas: Kini Biden Sadar Operasi Militer Israel adalah Tindakan Gila,unknown,Video,https://video.kompas.com/watch/1093224/hamas-kini-biden-sadar-operasi-militer-israel-adalah-tindakan-gila
"13 Desember 2023, 12:54 WIB",Muhammad Dava Arrifa,Kompas.com,unknown,Biden Belum Bisa Pastikan Keberadaan Sandera di Terowongan Gaza,unknown,Video,https://video.kompas.com/watch/1093068/biden-belum-bisa-pastikan-keberadaan-sandera-di-terowongan-gaza
"13 Desember 2023, 12:51 WIB",unknown,Kompas.com,unknown,"Tank Israel Terus Gempur Gaza, Warga Dihantui Bencana Kelaparan",unknown,Video,https://video.kompas.com/watch/1093067/tank-israel-terus-gempur-gaza-warga-dihantui-bencana-kelaparan
2023-12-13 11:30:21,Krisiandi,Kompas.com,"Menlu Retno Marsudi, Gaza, konflik hamas dan israel","Menlu Retno: Tindakan Israel Bunuh dan Berangus Hak Warga Sipil Palestina Bukan ""Self Defense"" - Kompas.com",341,Standard,http://nasional.kompas.com/read/2023/12/13/11302191/menlu-retno-tindakan-israel-bunuh-dan-berangus-hak-warga-sipil-palestina
"12 Desember 2023, 19:33 WIB",Muhammad Dava Arrifa,Kompas.com,unknown,Rudal Houthi Serang Kapal Tanker Norwegia,unknown,Video,https://video.kompas.com/watch/1091802/rudal-houthi-serang-kapal-tanker-norwegia
"12 Desember 2023, 18:52 WIB",unknown,Kompas.com,unknown,Rusia Artikan Veto AS sebagai Tanda Berlanjutnya Kehancuran Gaza,unknown,Video,https://video.kompas.com/watch/1091697/rusia-artikan-veto-as-sebagai-tanda-berlanjutnya-kehancuran-gaza
2023-12-12 18:00:00,Irawan Sapto Adhi,Kompas.com,"Palestina, PBB, Menlu Retno Marsudi, markas dewan ham pbb","Di Markas Dewan HAM PBB, Indonesia Tegaskan Dukungan untuk Palestina - Kompas.com",381,Standard,http://www.kompas.com/global/read/2023/12/12/180000370/di-markas-dewan-ham-pbb-indonesia-tegaskan-dukungan-untuk-palestina
"12 Desember 2023, 17:45 WIB",Arini Kusuma Jati,Kompas.com,unknown,Alasan AS Memveto Resolusi PBB soal Gencatan Senjata di Gaza,unknown,Video,https://video.kompas.com/watch/1091533/alasan-as-memveto-resolusi-pbb-soal-gencatan-senjata-di-gaza
"12 Desember 2023, 17:24 WIB",Muhammad Dava Arrifa,Kompas.com,unknown,Marahnya AS Saat Israel Pakai Fosfor Putih untuk Serang Lebanon Selatan,unknown,Video,https://video.kompas.com/watch/1091391/marahnya-as-saat-israel-pakai-fosfor-putih-untuk-serang-lebanon-selatan
"12 Desember 2023, 16:15 WIB",Adinda Septia Berliana,Kompas.com,unknown,Ibu Hamil di Gaza dan Bayi Baru Lahir Berjuang di Tengah Perang Israel-Hamas,unknown,Video,https://video.kompas.com/watch/1091180/perjuangan-ibu-hamil-dan-bayi-baru-lahir-di-tengah-perang-israel-hamas
"12 Desember 2023, 15:52 WIB",Adinda Septia Berliana,Kompas.com,unknown,Serangan Berdarah Israel di Jalur Gaza Tewaskan 20 Orang di Rafah,unknown,Video,https://video.kompas.com/watch/1091172/serangan-berdarah-israel-di-jalur-gaza-tewaskan-20-orang-di-rafah
"12 Desember 2023, 14:18 WIB",unknown,Kompas.com,unknown,Israel Klaim Siap Lanjutkan Pembicaraan Pertukaran Tahanan,unknown,Video,https://video.kompas.com/watch/1090867/israel-klaim-siap-lanjutkan-pembicaraan-pertukaran-tahanan
"12 Desember 2023, 13:59 WIB",Bernadetha Nadia Deni Ananda,Kompas.com,unknown,"Kelaparan di Gaza Meningkat, PBB: Bisa Picu Warga Eksodus ke Mesir",unknown,Video,https://video.kompas.com/watch/1090860/kelaparan-di-gaza-meningkat-pbb-bisa-picu-warga-eksodus-ke-mesir
"12 Desember 2023, 12:49 WIB",Adinda Septia Berliana,Kompas.com,unknown,Israel Akan Periksa Truk Bantuan Kemanusiaan di Perlintasan Karem Abu Salem dengan Gaza,unknown,Video,https://video.kompas.com/watch/1090711/israel-akan-periksa-truk-bantuan-kemanusiaan-di-perlintasan-karem-abu-salem-dengan-gaza
"12 Desember 2023, 12:46 WIB",unknown,Kompas.com,unknown,Panglima Militer Israel Temui Pasukan di Khan Younis,unknown,Video,https://video.kompas.com/watch/1090709/panglima-militer-israel-temui-pasukan-di-khan-younis
"12 Desember 2023, 11:57 WIB",Dariz Kartika,Kompas.com,unknown,Jumlah Korban Tewas di Gaza Tembus 18.200 Orang,unknown,Video,https://video.kompas.com/watch/1090548/jumlah-korban-tewas-di-gaza-tembus-18200-orang
2023-12-12 11:57:00,Irawan Sapto Adhi,Kompas.com,"mesir, Palestina, PBB, gencatan senjata, Gaza, Perang Israel-Hamas","Kelaparan di Gaza Meningkat, PBB: Bisa Picu Warga Eksodus ke Mesir - Kompas.com",383,Standard,http://www.kompas.com/global/read/2023/12/12/115700970/kelaparan-di-gaza-meningkat-pbb--bisa-picu-warga-eksodus-ke-mesir
"12 Desember 2023, 11:50 WIB",unknown,Kompas.com,unknown,"Situasi Gaza Terkini, Warga Palestina Makin Terdorong ke Mesir",unknown,Video,https://video.kompas.com/watch/1090546/situasi-gaza-terkini-warga-palestina-makin-terdorong-ke-mesir
"12 Desember 2023, 11:24 WIB",unknown,Kompas.com,unknown,Panglima Militer dan Kepala Keamanan Israel Cek Pasukan di Khan Younis,unknown,Video,https://video.kompas.com/watch/1090383/panglima-militer-dan-kepala-keamanan-israel-cek-pasukan-di-khan-younis
"11 Desember 2023, 21:51 WIB",unknown,Kompas.com,unknown,Perbatasan Israel-Lebanon Makin Panas,unknown,Video,https://video.kompas.com/watch/1089836/perbatasan-israel-lebanon-makin-panas
"11 Desember 2023, 20:46 WIB",Arini Kusuma Jati,Kompas.com,unknown,Israel Ungkap Jumlah Tentara yang Tewas di Gaza,unknown,Video,https://video.kompas.com/watch/1089728/israel-ungkap-jumlah-tentara-yang-tewas-di-gaza
"11 Desember 2023, 20:32 WIB",unknown,Kompas.com,unknown,Perbatasan Israel-Lebanon Makin Memanas [SHORTS],unknown,Video,https://video.kompas.com/watch/1089667/perbatasan-israel-lebanon-makin-memanas-shorts
"11 Desember 2023, 20:26 WIB",Anggie Puspariana,Kompas.com,unknown,"Solidaritas Gaza, Militer Yaman Ancam Incar Kapal Kargo Rute Israel",unknown,Video,https://video.kompas.com/watch/1089589/solidaritas-gaza-militer-yaman-ancam-incar-kapal-kargo-rute-israel
