content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
"27 Desember 2023, 14:18 WIB",unknown,Kompas.com,unknown,Serangan Israel Tewaskan Ratusan Warga Palestina Dalam 24 Jam,unknown,Video,https://video.kompas.com/watch/1121561/serangan-israel-tewaskan-ratusan-warga-palestina-dalam-24-jam
"27 Desember 2023, 13:13 WIB",Novyana Nurmita Dewi,Kompas.com,unknown,"Israel Serukan Demiliterisasi Gaza Usai Perang Berakhir, Berniat Kendalikan Keamanan",unknown,Video,https://video.kompas.com/watch/1121374/israel-serukan-demiliterisasi-gaza-usai-perang-berakhir-berniat-kendalikan-keamanan
"27 Desember 2023, 12:27 WIB",unknown,Kompas.com,unknown,"Hamas Tuduh AS Munafik, Bicara Perlindungan Warga Sipil tapi Dukung Serangan Israel",unknown,Video,https://video.kompas.com/watch/1121230/hamas-tuduh-as-munafik-bicara-perlindungan-warga-sipil-tapi-dukung-serangan-israel
"27 Desember 2023, 10:08 WIB",unknown,Kompas.com,unknown,"Iran Berambisi Serang Israel, Balas Kematian Jenderalnya di Suriah",unknown,Video,https://video.kompas.com/watch/1120924/iran-berambisi-serang-israel-balas-kematian-jenderalnya-di-suriah
"27 Desember 2023, 08:34 WIB",unknown,Kompas.com,unknown,"20 Negara Belum Buat Houthi Berhenti, Kini Sasar Kapal Kontainer dan Kirim Drone ke Israel",unknown,Video,https://video.kompas.com/watch/1120808/20-negara-belum-buat-houthi-berhenti-kini-sasar-kapal-kontainer-dan-kirim-drone-ke-israel
"27 Desember 2023, 06:47 WIB",Rizkia Shindy,Kompas.com,unknown,Detik-detik Brigade Al Qassam Terlibat Kontak Tembak dengan Israel,unknown,Video,https://video.kompas.com/watch/1120708/detik-detik-brigade-al-qassam-terlibat-kontak-tembak-dengan-israel
"26 Desember 2023, 21:48 WIB",Muhammad Dava Arrifa,Kompas.com,unknown,Israel Klaim Sita Senjata dan Hancurkan Laboratorium Bahan Peledak,unknown,Video,https://video.kompas.com/watch/1120512/israel-klaim-sita-senjata-dan-hancurkan-laboratorium-bahan-peledak
2023-12-26 21:31:40,Tito Hilmawan Reditya,Kompas.com,"perang hamas israel, update perang hamas israel, tentara israel telanjangi warga palestina",Tentara Israel Dilaporkan Menelanjangi Puluhan Warga Sipil Palestina - Kompas.com,202,Standard,http://www.kompas.com/global/read/2023/12/26/213140270/tentara-israel-dilaporkan-menelanjangi-puluhan-warga-sipil-palestina
"26 Desember 2023, 21:29 WIB",unknown,Kompas.com,unknown,Israel Klaim Hancurkan Lebih dari 100 Target Diduga Milik Hamas Lewat Gempuran Darat dan Udara,unknown,Video,https://video.kompas.com/watch/1120468/israel-klaim-hancurkan-lebih-dari-100-target-diduga-milik-hamas-lewat-gempuran-darat-dan-udara
"26 Desember 2023, 21:23 WIB",unknown,Kompas.com,unknown,Detik-detik Pidato Netanyahu Disambut Teriakan Keluarga Sandera Israel,unknown,Video,https://video.kompas.com/watch/1120440/detik-detik-pidato-netanyahu-disambut-teriakan-keluarga-sandera-israel
"26 Desember 2023, 21:16 WIB",Muhammad Dava Arrifa,Kompas.com,unknown,Palestina Kecam Rencana Netanyahu Usir Warga Keluar dari Gaza,unknown,Video,https://video.kompas.com/watch/1120436/palestina-kecam-rencana-netanyahu-usir-warga-keluar-dari-gaza
"26 Desember 2023, 20:35 WIB",Adinda Septia Berliana,Kompas.com,unknown,Israel Disebut Eksekusi Orang-orang Tak Berdosa di Sekolah Gaza,unknown,Video,https://video.kompas.com/watch/1120422/israel-disebut-eksekusi-orang-orang-tak-berdosa-di-sekolah-gaza
"26 Desember 2023, 20:12 WIB",unknown,Kompas.com,unknown,Lebih dari 100 Orang Dilaporkan Tewas dalam Serangan Udara Israel di Malam Natal,unknown,Video,https://video.kompas.com/watch/1120347/lebih-dari-100-orang-dilaporkan-tewas-dalam-serangan-udara-israel-di-malam-natal
"26 Desember 2023, 16:26 WIB",Dariz Kartika,Kompas.com,unknown,Netanyahu Berencana Tawari Warga Gaza Pindah Sukarela ke Negara Lain,unknown,Video,https://video.kompas.com/watch/1119747/netanyahu-berencana-tawari-warga-gaza-pindah-sukarela-ke-negara-lain
"26 Desember 2023, 15:08 WIB",unknown,Kompas.com,unknown,Iran Panas Dituduh AS Serang Kapal Tanker di Samudera Hindia: Tidak Berdasar!,unknown,Video,https://video.kompas.com/watch/1119521/iran-panas-dituduh-as-serang-kapal-tanker-di-samudera-hindia-tidak-berdasar
"26 Desember 2023, 11:00 WIB",unknown,Kompas.com,unknown,Isak Tangis Pemakaman Tentara IDF Korban Konflik Israel-Hamas,unknown,Video,https://video.kompas.com/watch/1118871/isak-tangis-pemakaman-tentara-idf-korban-konflik-israel-hamas
"26 Desember 2023, 10:46 WIB",Rizkia Shindy,Kompas.com,unknown,Penampakan Rumah Sakit Al Quds yang Porak-poranda Usai Diserang Israel,unknown,Video,https://video.kompas.com/watch/1118869/penampakan-rumah-sakit-al-quds-yang-porak-poranda-usai-diserang-israel
"26 Desember 2023, 10:33 WIB",unknown,Kompas.com,unknown,Biden Tak Ajukan Gencatan Senjata di Gaza Saat Berbicara dengan Netanyahu,unknown,Video,https://video.kompas.com/watch/1118844/biden-tak-ajukan-gencatan-senjata-di-gaza-saat-berbicara-dengan-netanyahu
