content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
2023-10-11 19:15:00,Sari Hardiyanto,Kompas.com,"Palestina, PBB, perang hamas israel, konflik hamas israel, palestina desak pbb adakan rapat darurat","Konflik Tak Kunjung Mereda, Palestina Desak PBB Gelar Sidang Darurat - Kompas.com",351,Standard,http://www.kompas.com/tren/read/2023/10/11/191500165/konflik-tak-kunjung-mereda-palestina-desak-pbb-gelar-sidang-darurat
2023-10-11 18:45:41,Sabrina Asril,Kompas.com,"Israel, Palestina, Muhammadiyah","Kritik Peran PBB di Konflik Palestina-Israel, Muhammadiyah: Fungsi PBB Seperti Impotensi  - Kompas.com",319,Standard,http://nasional.kompas.com/read/2023/10/11/18454161/kritik-peran-pbb-di-konflik-palestina-israel-muhammadiyah-fungsi-pbb-seperti
2023-10-11 18:40:00,Erlangga Djumena,Kompas.com,"investasi, BKPM, konflik Israel-Palestina",BKPM Yakin Perang Hamas-Israel Tak Akan Pengaruhi Investasi di Indonesia - Kompas.com,331,Standard,http://money.kompas.com/read/2023/10/11/184000426/bkpm-yakin-perang-hamas-israel-tak-akan-pengaruhi-investasi-di-indonesia
"11 Oktober 2023, 18:09 WIB",unknown,Kompas.com,unknown,Video Tampilkan Militer Israel Serang Jalur Gaza,unknown,Video,https://video.kompas.com/watch/945640/video-tampilkan-militer-israel-serang-jalur-gaza
"11 Oktober 2023, 18:00 WIB",unknown,Kompas.com,unknown,Presiden Iran Kecam Israel dan Puji Keberanian Warga Palestina,unknown,Video,https://video.kompas.com/watch/945608/presiden-iran-kecam-israel-dan-puji-keberanian-warga-palestina
"11 Oktober 2023, 17:25 WIB",Adinda Septia Berliana,Kompas.com,unknown,Prabowo Sebut Pelayan Kesehatan di Gaza Menolak Dievakuasi,unknown,Video,https://video.kompas.com/watch/945393/prabowo-sebut-pelayan-kesehatan-di-gaza-menolak-dievakuasi
"11 Oktober 2023, 17:14 WIB",unknown,Kompas.com,unknown,"Kondisi Gaza dari Udara, Serangan Israel Meluluhlantakkan Bangunan dan Pemukiman",unknown,Video,https://video.kompas.com/watch/945377/kondisi-gaza-dari-udara-serangan-israel-meluluhlantakkan-bangunan-dan-pemukiman
2023-10-11 17:14:56,Amalia Purnama Sari,Kompas.com,"Dompet Dhuafa jalankan misi kemanusiaan, Konflik antara Palestina dan Israel","Konflik Hamas-Israel Telan Banyak Korban, Dompet Dhuafa Upayakan Mobilisasi Bantuan Kemanusiaan - Kompas.com",467,Kilas,http://nasional.kompas.com/read/2023/10/11/17145691/konflik-hamas-israel-telan-banyak-korban-dompet-dhuafa-upayakan-mobilisasi
"11 Oktober 2023, 16:53 WIB",unknown,Kompas.com,unknown,Konflik Hamas-Israel Turut Dikhawatirkan Warga Lebanon,unknown,Video,https://video.kompas.com/watch/945348/konflik-hamas-israel-turut-dikhawatirkan-warga-lebanon
"11 Oktober 2023, 16:46 WIB",unknown,Kompas.com,unknown,"Konflik Israel-Palestina, Lemhannas Siapkan Kajian Risiko untuk Indonesia",unknown,Video,https://video.kompas.com/watch/945338/konflik-israel-palestina-lemhannas-siapkan-kajian-risiko-untuk-indonesia
2023-10-11 16:10:00,Erlangga Djumena,Kompas.com,"modal asing, airlangga, konflik Israel-Palestina","Ada Konflik Hamas-Israel, Airlangga Optimistis Investasi ke Indonesia Tak Terganggu - Kompas.com",353,Standard,http://money.kompas.com/read/2023/10/11/161000026/ada-konflik-hamas-israel-airlangga-optimistis-investasi-ke-indonesia-tak
2023-10-11 16:00:00,Sari Hardiyanto,Kompas.com,"Gaza, konflik hamas dan israel, israel serang hamas, perang israel hamas palestina, hamas serang israel",Ketegangan di Gaza dan Sorotan Atas Diamnya Komunitas Internasional - Kompas.com,410,Standard,http://www.kompas.com/tren/read/2023/10/11/160000165/ketegangan-di-gaza-dan-sorotan-atas-diamnya-komunitas-internasional
"11 Oktober 2023, 15:50 WIB",unknown,Kompas.com,unknown,PP Muhammadiyah Desak PBB Ambil Langkah Konkret Hentikan Perang Hamas-Israel,unknown,Video,https://video.kompas.com/watch/945159/pp-muhammadiyah-desak-pbb-ambil-langkah-konkret-hentikan-perang-hamas-israel
"11 Oktober 2023, 15:13 WIB",unknown,Kompas.com,unknown,Ribuan Warga Gaza Mengungsi Imbas Perang Israel vs Hamas,unknown,Video,https://video.kompas.com/watch/944935/ribuan-warga-gaza-mengungsi-imbas-perang-israel-vs-hamas
"11 Oktober 2023, 14:56 WIB",unknown,Kompas.com,unknown,Menlu Amerika Serikat Akan Datangi Israel di Tengah Konflik dengan Hamas,unknown,Video,https://video.kompas.com/watch/944910/menlu-amerika-serikat-akan-datangi-israel-di-tengah-konflik-dengan-hamas
2023-10-11 13:40:20,Bagus Santosa,Kompas.com,"Israel, Palestina, Hamas, Lemhannas",Lemhannas Cermati Potensi Munculnya Aksi Teror Baru Dampak Konflik Hamas-Israel - Kompas.com,301,Standard,http://nasional.kompas.com/read/2023/10/11/13402031/lemhannas-cermati-potensi-munculnya-aksi-teror-baru-dampak-konflik-hamas
"11 Oktober 2023, 13:37 WIB",Vina Muthi Ambarwati,Kompas.com,unknown,Israel Disebut Akan Lancarkan Serangan Darat,unknown,Video,https://video.kompas.com/watch/944661/israel-disebut-akan-lancarkan-serangan-darat
