article_link,article_title
https://www.cnbcindonesia.com/news/20240827073733-7-566587/laut-merah-membara-kapal-tanker-150000-ton-minyak-diserang-houthi,"Laut Merah Membara, Kapal Tanker 150.000 Ton Minyak Diserang Houthi"
https://www.cnbcindonesia.com/news/20240826202604-4-566558/8-update-perang-arab-tel-aviv-hujan-roket-hizbullah-vs-israel,"8 Update Perang Arab: Tel Aviv Hujan Roket, Hizbullah Vs Israel"
https://www.cnbcindonesia.com/news/20240826193922-4-566555/fakta-fakta-perang-israel-vs-hizbullah-adu-kuat-2-musuh-timur-tengah,Fakta-Fakta Perang Israel Vs Hizbullah: Adu Kuat 2 Musuh Timur Tengah
https://www.cnbcindonesia.com/news/20240826192928-4-566547/uni-eropa-serukan-hukuman-untuk-2-menteri-garis-keras-israel-kenapa,"Uni Eropa Serukan Hukuman untuk 2 Menteri Garis Keras Israel, Kenapa?"
https://www.cnbcindonesia.com/news/20240826174514-8-566511/video-perang-arab-makin-ngeri-houthi-kode-bom-ke-israel,Video: Perang Arab Makin Ngeri! Houthi Kode Bom ke Israel
https://www.cnbcindonesia.com/news/20240826151425-4-566438/75-warga-israel-nilai-netanyahu-lakukan-kesalahan-soal-hizbullah,75% Warga Israel Nilai Netanyahu Lakukan Kesalahan soal Hizbullah
https://www.cnbcindonesia.com/news/20240826145552-4-566432/pidato-megawati-di-depan-ahok-cs-singgung-palestina-begini-ceritanya,"Pidato Megawati di Depan Ahok Cs Singgung Palestina, Begini Ceritanya"
https://www.cnbcindonesia.com/news/20240826090301-8-566280/100-ribu-warga-palestina-mengungsi-dalam-2-hari-usai-diusir-israel,100 Ribu Warga Palestina Mengungsi Dalam 2 Hari Usai Diusir Israel
https://www.cnbcindonesia.com/news/20240826085705-8-566277/video-hamas-mengutuk-keras-aksi-tentara-israel-bakar-al-quran,Video: Hamas Mengutuk Keras Aksi Tentara Israel Bakar Al-Qur'an
https://www.cnbcindonesia.com/news/20240825052859-4-566122/akhirnya-as-siap-bantu-pasok-senjata-israel-senilai-us-20-miliar,Akhirnya! AS Siap Bantu Pasok Senjata Israel Senilai US$20 Miliar
https://www.cnbcindonesia.com/news/20240823190735-4-566002/pbb-blak-blakan-fakta-baru-perang-gaza-beberkan-data-ini,"PBB Blak-blakan Fakta Baru Perang Gaza, Beberkan Data Ini"
https://www.cnbcindonesia.com/news/20240823142224-4-565904/terungkap-alasan-kesepakatan-damai-gaza-antara-israel-hamas-gagal,Terungkap! Alasan Kesepakatan Damai Gaza antara Israel & Hamas Gagal
https://www.cnbcindonesia.com/news/20240823131002-4-565856/israel-disebut-bakal-hancur-dalam-1-tahun-tinggal-tunggu-waktu,"Israel Disebut Bakal Hancur dalam 1 Tahun, Tinggal Tunggu Waktu"
https://www.cnbcindonesia.com/news/20240822154243-4-565554/biden-tekan-habis-netanyahu-paksa-sudahi-perang-gaza,"Biden Tekan Habis Netanyahu, Paksa Sudahi Perang Gaza"
https://www.cnbcindonesia.com/news/20240822090020-7-565381/potret-pemakanan-tentara-idf-yang-tewas-dibom-jet-tempur-israel,Potret Pemakanan Tentara IDF yang Tewas Dibom Jet Tempur Israel
https://www.cnbcindonesia.com/news/20240822082512-8-565362/video-bom-israel-di-lebanon-selatan-bunuh-pejabat-fatah,Video: Bom Israel Di Lebanon Selatan Bunuh Pejabat Fatah
https://www.cnbcindonesia.com/news/20240821192954-7-565292/miris-penampakan-pantai-gaza-bak-pemukiman-kumuh,"Miris, Penampakan Pantai Gaza 'Bak' Pemukiman Kumuh"
https://www.cnbcindonesia.com/news/20240821181314-8-565270/video-juru-bicara-garda-revolusi-sebut-kaum-zionis-ketakutan,Video: Juru Bicara Garda Revolusi Sebut Kaum Zionis Ketakutan
https://www.cnbcindonesia.com/news/20240821175739-4-565260/israel-bunuh-pejabat-fatah-dalam-serangan-ke-kota-sidon-lebanon,Israel Bunuh Pejabat Fatah dalam Serangan ke Kota Sidon Lebanon
https://www.cnbcindonesia.com/news/20240819183208-7-564571/penampakan-terowongan-hizbullah-canggih-dari-hamas-masuk-truk-ada-rs,"Penampakan Terowongan Hizbullah Canggih dari Hamas, Masuk Truk-Ada RS"
https://www.cnbcindonesia.com/news/20240821081254-8-565004/video-pbb-warning-luas-wilayah-evakuasi-di-gaza-86-palestina,"Video: PBB Warning Luas Wilayah Evakuasi di Gaza, 86% Palestina"
https://www.cnbcindonesia.com/news/20240820201701-7-564958/bukan-di-gaza-warga-palestina-menyemut-antar-jenazah-korban-israel,"Bukan di Gaza, Warga Palestina Menyemut Antar Jenazah Korban Israel"
https://www.cnbcindonesia.com/news/20240820201808-4-564959/7-update-perang-arab-senjata-makan-tuan-israel-hizbullah-menggila,7 Update Perang Arab: Senjata Makan Tuan Israel-Hizbullah Menggila
https://www.cnbcindonesia.com/news/20240820180357-4-564913/utusan-palestina-ungkap-rencana-jahat-netanyahu-libatkan-as,"Utusan Palestina Ungkap Rencana Jahat Netanyahu, Libatkan AS"
https://www.cnbcindonesia.com/news/20240820200234-4-564948/pbb-beri-warning-baru-soal-gaza-86-wilayah-di-bawah-ancaman-israel,"PBB Beri Warning Baru soal Gaza, 86% Wilayah di Bawah Ancaman Israel"
https://www.cnbcindonesia.com/news/20240820175121-4-564912/israel-kebobolan-hamas-dan-jihad-islam-akui-jadi-dalang-bom-tel-aviv,Israel Kebobolan! Hamas dan Jihad Islam Akui Jadi Dalang Bom Tel Aviv
https://www.cnbcindonesia.com/research/20240819111151-128-564345/ramai-boikot-ri-malah-impor-5-produk-israel-ini-nilainya-miliaran,"Ramai Boikot: RI Malah Impor 5 Produk Israel Ini, Nilainya Miliaran"
https://www.cnbcindonesia.com/news/20240820085004-8-564666/as-pastikan-israel-dukung-proposal-gencatan-senjata-yang-diajukannya,AS Pastikan Israel Dukung Proposal Gencatan Senjata Yang Diajukannya
https://www.cnbcindonesia.com/news/20240820084054-8-564659/video-hamas-jihad-islam-akui-lakukan-bom-bunuh-diri-di-tel-aviv,Video: Hamas & Jihad Islam Akui Lakukan Bom Bunuh Diri di Tel Aviv
https://www.cnbcindonesia.com/news/20240819193845-4-564581/7-update-perang-arab-tel-aviv-dibom-hizbullah-bobol-rumah-netanyahu,7 Update Perang Arab: Tel Aviv Dibom-Hizbullah Bobol Rumah Netanyahu
https://www.cnbcindonesia.com/news/20240819180644-4-564564/as-beri-kesempatan-terakhir-negosiasi-israel-hamas-perang-berakhir,"AS Beri 'Kesempatan Terakhir' Negosiasi Israel-Hamas, Perang Berakhir?"
https://www.cnbcindonesia.com/news/20240819174927-4-564552/utusan-palestina-datang-ke-ri-bawa-pesan-ini-untuk-prabowo,"Utusan Palestina Datang ke RI, Bawa Pesan Ini untuk Prabowo"
https://www.cnbcindonesia.com/news/20240819134209-7-564430/detik-detik-ledakan-mematikan-guncang-tel-aviv-israel-1-tewas,"Detik-Detik Ledakan Mematikan Guncang Tel Aviv Israel, 1 Tewas"
https://www.cnbcindonesia.com/news/20240819140935-4-564448/bukti-terbaru-ekonomi-israel-babak-belur-jauh-di-bawah-ekspektasi,"Bukti Terbaru Ekonomi Israel Babak Belur, Jauh di Bawah Ekspektasi"
https://www.cnbcindonesia.com/news/20240819080755-8-564269/video-warga-israel-unjuk-rasa-minta-kesepakatan-penukaran-sandera,Video: Warga Israel Unjuk Rasa Minta Kesepakatan Penukaran Sandera
https://www.cnbcindonesia.com/news/20240819080452-8-564264/video-israel-semakin-kejam-kembali-serang-gaza-tewaskan-20-orang,"Video: Israel Semakin Kejam, Kembali Serang Gaza & Tewaskan 20 Orang"
https://www.cnbcindonesia.com/news/20240818162520-4-564197/kisah-pilu-warga-gaza-hari-ini-tak-ganti-pakaian-berbulan-bulan,Kisah Pilu Warga Gaza Hari Ini: Tak Ganti Pakaian Berbulan-Bulan
https://www.cnbcindonesia.com/news/20240818133357-4-564179/menlu-as-ke-israel-mediasi-gencatan-senjata-gaza-ini-respons-hamas,"Menlu AS ke Israel Mediasi Gencatan Senjata Gaza, Ini Respons Hamas"
https://www.cnbcindonesia.com/news/20240816063049-4-563445/israel-perang-lawan-iran-tak-terhindarkan-as-harus-serang-teheran,"Israel: Perang Lawan Iran Tak Terhindarkan, AS Harus Serang Teheran"
https://www.cnbcindonesia.com/news/20240815183050-7-563415/potret-gaza-jadi-kuburan-massal-korban-tewas-tembus-40000-orang,"Potret Gaza Jadi Kuburan Massal, Korban Tewas Tembus 40.000 Orang"
https://www.cnbcindonesia.com/news/20240815105806-4-563255/bukan-di-gaza-israel-blak-blakan-ingin-caplok-wilayah-palestina-ini,"Bukan di Gaza, Israel Blak-blakan Ingin Caplok Wilayah Palestina Ini"
https://www.cnbcindonesia.com/news/20240815090805-4-563190/hamas-tak-ikut-nego-gencatan-senjata-perdamaian-kian-jauh-dari-gaza,"Hamas Tak Ikut Nego Gencatan Senjata, Perdamaian Kian Jauh dari Gaza?"
https://www.cnbcindonesia.com/news/20240815053859-4-563155/12-update-perang-gaza-israel-bunuh-2100-bayi-masjid-al-aqsa-memanas,"12 Update Perang Gaza: Israel Bunuh 2.100 Bayi, Masjid Al-Aqsa Memanas"
https://www.cnbcindonesia.com/news/20240814160106-7-563068/detik-detik-al-aqsa-diserbu-2000-yahudi-dipimpin-menteri-israel,"Detik-Detik Al-Aqsa Diserbu 2000 Yahudi, Dipimpin Menteri Israel"
https://www.cnbcindonesia.com/news/20240814103206-4-562903/hamas-menggila-rudal-brigade-al-qassam-hantam-tel-aviv-israel,"Hamas Menggila, Rudal Brigade Al Qassam Hantam Tel Aviv Israel"
https://www.cnbcindonesia.com/news/20240814081311-8-562844/netanyahu-ribut-dengan-menhan-soal-target-kemenangan-lawan-hamas,"Netanyahu ""Ribut"" Dengan Menhan Soal Target Kemenangan Lawan Hamas"
https://www.cnbcindonesia.com/news/20240814060556-4-562814/deal-as-sepakat-jual-jet-tempur-senjata-senilai-rp-320-t-ke-israel,Deal! AS Sepakat Jual Jet Tempur & Senjata Senilai Rp 320 T ke Israel
https://www.cnbcindonesia.com/news/20240814045629-4-562809/terungkap-ini-satu-satunya-cara-batalkan-balas-dendam-iran-ke-israel,Terungkap! Ini Satu-satunya Cara Batalkan Balas Dendam Iran ke Israel
https://www.cnbcindonesia.com/news/20240812131848-4-562330/militer-tel-aviv-blak-blakan-israel-masih-jauh-dari-kemenangan-di-gaza,Militer Tel Aviv Blak-blakan Israel Masih Jauh dari Kemenangan di Gaza
https://www.cnbcindonesia.com/news/20240812083018-4-562178/israel-mendadak-perintahkan-evakuasi-besar-besaran-di-gaza-ada-apa,"Israel Mendadak Perintahkan Evakuasi Besar-besaran di Gaza, Ada Apa?"
https://www.cnbcindonesia.com/news/20240812052022-4-562137/hamas-tuntut-gencatan-senjata-segera-di-gaza-ogah-negosiasi-lagi,"Hamas Tuntut Gencatan Senjata Segera di Gaza, 'Ogah' Negosiasi Lagi"
https://www.cnbcindonesia.com/news/20240810142818-7-561981/penampakan-kamp-pengungsian-di-gaza-dibom-israel-saat-salat-subuh,Penampakan Kamp Pengungsian di Gaza Dibom Israel saat Salat Subuh
https://www.cnbcindonesia.com/news/20240810171819-4-562010/biadab-israel-bom-kamp-pengungsian-gaza-saat-salat-subuh-93-tewas,"Biadab! Israel Bom Kamp Pengungsian Gaza saat Salat Subuh, 93 Tewas"
https://www.cnbcindonesia.com/news/20240810130022-4-561962/perang-arab-tinggal-sejengkal-as-inggris-kompak-bombardir-houthi,Perang Arab Tinggal 'Sejengkal'. AS-Inggris Kompak Bombardir Houthi
https://www.cnbcindonesia.com/news/20240810120319-4-561953/israel-serang-penampungan-pengungsi-di-sekolah-gaza-100-lebih-tewas,"Israel Serang Penampungan Pengungsi di Sekolah Gaza, 100 Lebih Tewas"
https://www.cnbcindonesia.com/news/20240810071200-4-561923/israel-menggila-lagi-bombardir-lebanon-bunuh-komandan-hamas,"Israel Menggila Lagi, Bombardir Lebanon-Bunuh Komandan Hamas"
https://www.cnbcindonesia.com/news/20240809140619-4-561754/netanyahu-abaikan-icj-as-israel-tak-akan-cabut-dari-tepi-barat,"Netanyahu Abaikan ICJ & AS, Israel Tak Akan Cabut dari Tepi Barat"
https://www.cnbcindonesia.com/news/20240809130740-4-561743/israel-tiba-tiba-hukum-diplomat-norwegia-di-palestina-ada-apa,"Israel Tiba-Tiba Hukum Diplomat Norwegia di Palestina, Ada Apa?"
https://www.cnbcindonesia.com/news/20240809093720-4-561672/arab-makin-membara-inggris-dan-as-serang-houthi-di-yaman,"Arab Makin Membara, Inggris dan AS Serang Houthi di Yaman"
https://www.cnbcindonesia.com/news/20240809081712-8-561645/video-israel-setuju-bahas-kembali-gencatan-senjata-dengan-hamas,Video: Israel Setuju Bahas Kembali Gencatan Senjata Dengan Hamas
https://www.cnbcindonesia.com/news/20240809075821-4-561640/qatar-hingga-as-desak-israel-hamas-gencatan-senjata-begini-jawabannya,"Qatar hingga AS Desak Israel-Hamas Gencatan Senjata, Begini Jawabannya"
https://www.cnbcindonesia.com/news/20240808204006-4-561576/update-perang-arab-iran-naik-darah--netanyahu-tumbalkan-sandera,Update Perang Arab: Iran Naik Darah - Netanyahu Tumbalkan Sandera!
https://www.cnbcindonesia.com/news/20240808133833-7-561394/berbeda-jauh-negara-ini-berduka-ismail-haniyeh-tewas-israel-gembira,"Berbeda Jauh! Negara Ini Berduka Ismail Haniyeh Tewas, Israel Gembira"
https://www.cnbcindonesia.com/news/20240808124509-4-561374/iran-bersiap-balas-dendam-ke-israel-putin-tiba-tiba-beri-pesan-ini,"Iran Bersiap Balas Dendam ke Israel, Putin Tiba-Tiba Beri Pesan Ini"
https://www.cnbcindonesia.com/news/20240808054714-4-561256/negara-nato-ini-akhirnya-seret-israel-ke-mahkamah-internasional,Negara NATO Ini Akhirnya Seret Israel ke Mahkamah Internasional
https://www.cnbcindonesia.com/news/20240807123227-7-561088/mayat-berjalan-ini-sosok-yahya-sinwar-pemimpin-baru-hamas,"""Mayat Berjalan"", Ini Sosok Yahya Sinwar Pemimpin Baru Hamas"
https://www.cnbcindonesia.com/news/20240807142427-4-561139/hizbullah-siap-nekat-balas-dendam-ke-israel-tanpa-dukungan-sekutu,Hizbullah Siap Nekat Balas Dendam ke Israel Tanpa Dukungan Sekutu
https://www.cnbcindonesia.com/news/20240807144630-4-561145/arab-di-ambang-peperangan-baru-kapal-perang-as-siaga-di-timur-tengah,"Arab di Ambang Peperangan Baru, Kapal Perang AS Siaga di Timur Tengah"
https://www.cnbcindonesia.com/news/20240807103430-4-561031/daftar-negara-sekutu-iran-yang-siap-bantu-jika-perang-lawan-israel,Daftar Negara Sekutu Iran yang Siap Bantu jika Perang Lawan Israel
https://www.cnbcindonesia.com/news/20240807094058-4-561021/profil-yahya-sinwar-pemimpin-baru-hamas-musuh-nomor-satu-israel,"Profil Yahya Sinwar, Pemimpin Baru Hamas-Musuh Nomor Satu Israel"
https://www.cnbcindonesia.com/news/20240807053755-4-560951/kesaksian-pilu-tahanan-palestina-di-penjara-israel-disiksa-dilecehkan,"Kesaksian Pilu Tahanan Palestina di Penjara Israel, Disiksa-Dilecehkan"
https://www.cnbcindonesia.com/news/20240807045732-4-560947/resmi-hamas-tunjuk-yahya-sinwar-sebagai-pemimpin-baru-siapa-dia,"Resmi! Hamas Tunjuk Yahya Sinwar sebagai Pemimpin Baru, Siapa Dia?"
https://www.cnbcindonesia.com/news/20240806175116-4-560905/unesco-mendadak-keluarkan-prosedur-darurat-di-gaza-ada-apa,"UNESCO Mendadak Keluarkan Prosedur Darurat di Gaza, Ada Apa?"
https://www.cnbcindonesia.com/news/20240806092055-7-560683/potret-kondisi-bangunan-lokasi-komandan-hizbullah-terbunuh-oleh-israel,Potret Kondisi Bangunan Lokasi Komandan Hizbullah Terbunuh oleh Israel
https://www.cnbcindonesia.com/news/20240806052705-4-560627/menguak-kebohongan-netanyahu-soal-gaza-israel-belum-menang,Menguak Kebohongan Netanyahu soal Gaza: Israel Belum Menang
https://www.cnbcindonesia.com/news/20240805141627-4-560461/israel-sudah-pasrah-diserang-siapkan-bungker-di-bawah-yerusalem,"Israel Sudah 'Pasrah' Diserang, Siapkan Bungker di Bawah Yerusalem"
https://www.cnbcindonesia.com/news/20240804181136-7-560255/potret-israel-bombardir-kamp-pengungsi-gaza-warga-panik-padamkan-api,"Potret Israel Bombardir Kamp Pengungsi Gaza, Warga Panik Padamkan Api"
https://www.cnbcindonesia.com/news/20240805053031-4-560273/as-israel-ribut-biden-sebut-netanyahu-tak-tahu-terima-kasih,AS-Israel Ribut! Biden Sebut Netanyahu Tak Tahu Terima Kasih
https://www.cnbcindonesia.com/news/20240804111708-7-560195/hancur-berantakan-potret-israel-menggila-bombardir-sekolah-17-tewas,"Hancur Berantakan! Potret Israel Menggila Bombardir Sekolah, 17 Tewas"
https://www.cnbcindonesia.com/news/20240804115518-8-560205/5-orang-di-tepi-barat-tewas-akibat-serangan-udara-israel,5 Orang di Tepi Barat Tewas Akibat Serangan Udara Israel
