url,date_time,article_title
https://news.detik.com/internasional/d-6977501/ancaman-negara-yahudi-bila-gaza-tak-akan-pernah-seperti-sedia-kala,11 Okt 2023 20:15 WIB,Ancaman Negara Yahudi Bila Gaza Tak Akan Pernah Seperti Sedia Kala
https://health.detik.com/fotohealth/d-6976953/potret-pilu-bocah-jadi-korban-perang-israel-vs-hamas,11 Okt 2023 20:00 WIB,Potret Pilu Bocah Jadi Korban Perang Israel Vs Hamas
https://inet.detik.com/science/d-6977383/israel-dituding-serang-hamas-pakai-bom-fosfor-putih-apa-itu,11 Okt 2023 20:00 WIB,"Israel Dituding Serang Hamas Pakai Bom Fosfor Putih, Apa Itu?"
https://www.detik.com/jateng/berita/d-6977406/playboy-depak-mia-khalifa-terkait-dukungan-hamas-serang-israel,11 Okt 2023 19:16 WIB,Playboy Depak Mia Khalifa Terkait Dukungan Hamas Serang Israel
https://news.detik.com/dw/d-6977286/kenapa-uni-eropa-batal-hentikan-dana-bantuan-bagi-palestina,11 Okt 2023 18:09 WIB,Kenapa Uni Eropa Batal Hentikan Dana Bantuan Bagi Palestina?
https://news.detik.com/foto-news/d-6976489/asap-hitam-mengepung-gaza-saat-israel-kembali-luncurkan-serangan,11 Okt 2023 18:00 WIB,Asap Hitam Mengepung Gaza Saat Israel Kembali Luncurkan Serangan
https://www.detik.com/jatim/berita/d-6977229/ajakan-khofifah-akui-palestina-merdeka-saat-ziarah-makam-bung-karno,11 Okt 2023 17:51 WIB,Ajakan Khofifah Akui Palestina Merdeka saat Ziarah Makam Bung Karno
https://news.detik.com/detiktv/d-6977159/massa-bela-palestina-bakar-bendera-as-israel-di-depan-kedubes-as,11 Okt 2023 17:19 WIB,Massa Bela Palestina Bakar Bendera AS-Israel di Depan Kedubes AS
https://news.detik.com/detiktv/d-7277954/respons-pm-australia-setelah-israel-bunuh-relawan-wck,04 Apr 2024 12:41 WIB,Respons PM Australia Setelah Israel Bunuh Relawan WCK
https://news.detik.com/detiktv/d-7277570/israel-ngaku-tak-sengaja-bunuh-relawan-wck-tapi-kirim-rudal-sampai-3-kali,04 Apr 2024 09:47 WIB,"Israel Ngaku Tak Sengaja Bunuh Relawan WCK, Tapi Kirim Rudal Sampai 3 Kali"
https://www.detik.com/hikmah/ziswaf/d-7277478/dengar-masukan-masyarakat-baznas-tak-akan-lagi-terima-donasi-dari-mcd,04 Apr 2024 08:41 WIB,"Dengar Masukan Masyarakat, Baznas Tak Akan Lagi Terima Donasi dari McD"
https://news.detik.com/internasional/d-7277280/kecaman-dari-mana-mana-usai-israel-tewaskan-7-relawan-gaza,04 Apr 2024 03:12 WIB,Kecaman dari Mana-mana Usai Israel Tewaskan 7 Relawan Gaza
https://news.detik.com/internasional/d-7276402/palestina-mulai-lagi-upaya-jadi-negara-anggota-pbb,03 Apr 2024 15:55 WIB,Palestina Mulai Lagi Upaya Jadi Negara Anggota PBB
https://news.detik.com/detiktv/d-7275751/penampakan-mobil-7-relawan-wck-yang-tewas-diserang-israel,03 Apr 2024 12:07 WIB,Penampakan Mobil 7 Relawan WCK yang Tewas Diserang Israel
https://news.detik.com/berita/d-7275532/jokowi-bertolak-ke-jambi-usai-lepas-bantuan-untuk-palestina-dan-sudan,03 Apr 2024 10:36 WIB,Jokowi Bertolak ke Jambi Usai Lepas Bantuan untuk Palestina dan Sudan
https://health.detik.com/fotohealth/d-7275425/indonesia-kirim-obat-obatan-untuk-rakyat-palestina-dan-sudan,03 Apr 2024 10:29 WIB,Indonesia Kirim Obat-obatan untuk Rakyat Palestina dan Sudan
https://news.detik.com/detiktv/d-7275457/jokowi-lepas-bantuan-senilai-rp-30-m-untuk-palestina-dan-sudan,03 Apr 2024 10:06 WIB,Jokowi Lepas Bantuan Senilai Rp 30 M untuk Palestina dan Sudan
https://news.detik.com/berita/d-7275381/jokowi-lepas-bantuan-obat-obatan-dan-alkes-ke-sudan-palestina-senilai-rp-30-m,03 Apr 2024 09:06 WIB,Jokowi Lepas Bantuan Obat-obatan dan Alkes ke Sudan-Palestina Senilai Rp 30 M
https://news.detik.com/detiktv/d-7275348/jenderal-militer-israel-soal-7-relawan-wck-tewas-salah-identifikasi,03 Apr 2024 08:23 WIB,Jenderal Militer Israel soal 7 Relawan WCK Tewas: Salah Identifikasi
https://health.detik.com/berita-detikhealth/d-7275242/miris-begini-penampakan-rs-al-shifa-gaza-hancur-lebur-usai-diduduki-israel,03 Apr 2024 05:30 WIB,"Miris, Begini Penampakan RS Al Shifa Gaza Hancur Lebur usai Diduduki Israel"
https://news.detik.com/internasional/d-7275241/sekjen-pbb-geram-7-relawan-di-gaza-tewas-akibat-ulah-israel-tak-masuk-akal,03 Apr 2024 05:29 WIB,Sekjen PBB Geram 7 Relawan di Gaza Tewas Akibat Ulah Israel: Tak Masuk Akal!
