url,article_title
https://www.cnbcindonesia.com/news/20240430075005-4-534489/kronologi-sebab-netanyahu-bakal-ditangkap-bukan-gaza-7-oktober-tapi,"Kronologi-Sebab Netanyahu Bakal Ditangkap, Bukan Gaza 7 Oktober Tapi.."
https://www.cnbcindonesia.com/news/20240429144732-4-534323/bacapres-as-ditangkap-saat-demo-pro-palestina-begini-kronologinya,"Bacapres AS Ditangkap Saat Demo Pro-Palestina, Begini Kronologinya"
https://www.cnbcindonesia.com/news/20240429132929-4-534295/presiden-palestina-minta-bantuan-as-sebut-israel-manfaatkan-hamas,"Presiden Palestina Minta Bantuan AS, Sebut Israel Manfaatkan Hamas"
https://www.cnbcindonesia.com/news/20240429112626-8-534230/video-demo-ratusan-mahasiswa-di-as-bela-palestina-wni-ikut-serta,"Video: Demo Ratusan Mahasiswa di AS Bela Palestina, WNI Ikut Serta?"
https://www.cnbcindonesia.com/news/20240429115754-4-534242/update-terbaru-perang-gaza-gencatan-senjata-baru-demo-besar-kampus-as,Update Terbaru Perang Gaza: Gencatan Senjata Baru-Demo Besar Kampus AS
https://www.cnbcindonesia.com/news/20240429100803-4-534190/gedung-putih-respons-demo-besar-guncang-kampus-as-bela-palestina,Gedung Putih Respons Demo Besar Guncang Kampus AS Bela Palestina
https://www.cnbcindonesia.com/news/20240429082536-8-534148/video-israel-ketar-ketir-takut-netanyahu-ditangkap-icc,"Video: Israel Ketar-Ketir, Takut Netanyahu Ditangkap ICC"
https://www.cnbcindonesia.com/news/20240429082806-8-534152/video-polisi-as-tangkap-lebih-dari-150-orang-demonstran-pro-palestina,Video: Polisi AS Tangkap Lebih Dari 150 Orang Demonstran Pro-Palestina
https://www.cnbcindonesia.com/news/20240429073527-4-534139/prabowo-tiba-tiba-muncul-di-media-inggris-sindir-ini-ada-apa,"Prabowo Tiba-Tiba Muncul di Media Inggris & Sindir Ini, Ada Apa?"
https://www.cnbcindonesia.com/news/20240428163148-4-534092/ratusan-mahasiswa-kampus-elit-ditahan-karena-dukung-palestina,Ratusan Mahasiswa Kampus Elit Ditahan karena Dukung Palestina
https://www.cnbcindonesia.com/news/20240428054536-4-534014/terbaru-israel-buka-peluang-gencatan-senjata-di-gaza-ini-syaratnya,"Terbaru! Israel Buka Peluang Gencatan Senjata di Gaza, Ini Syaratnya"
https://www.cnbcindonesia.com/news/20240427111733-8-533937/video-polisi-paris-pisahkan-demonstran-pro-palestina-vs-pro-israel,Video: Polisi Paris Pisahkan Demonstran Pro-Palestina Vs Pro-Israel
https://www.cnbcindonesia.com/news/20240427103814-7-533939/potret-aparat-kepolisian-brutal-hadapi-demo-pro-palestina-di-as,Potret Aparat Kepolisian Brutal Hadapi Demo Pro-Palestina di AS
https://www.cnbcindonesia.com/news/20240426154457-4-533804/demo-besar-besaran-mahasiswa-as-chaos-polisi-tembakan-peluru-karet,"Demo Besar-besaran Mahasiswa AS Chaos, Polisi Tembakan Peluru Karet"
https://www.cnbcindonesia.com/news/20240426142539-4-533771/warga-israel-bergerak-menuju-gaza-ingin-bangun-permukiman-yahudi,"Warga Israel Bergerak Menuju Gaza, Ingin Bangun Permukiman Yahudi"
https://www.cnbcindonesia.com/news/20240426105037-4-533660/chaos-demo-kampus-kampus-as-terus-meluas-joe-biden-terdesak,"Chaos! Demo Kampus-Kampus AS Terus Meluas, Joe Biden Terdesak"
https://www.cnbcindonesia.com/news/20240426090345-8-533612/video-as-tangkap-500-mahasiswa-terlibat-demonstrasi-pro-palestina,Video: AS Tangkap 500 Mahasiswa Terlibat Demonstrasi Pro-Palestina
https://www.cnbcindonesia.com/news/20240425192834-7-533533/citra-satelit-ungkap-tanda-israel-bakal-serang-rafah-habis-habisan,Citra Satelit Ungkap Tanda Israel Bakal Serang Rafah Habis-habisan
https://www.cnbcindonesia.com/news/20240426050208-4-533555/israel-siapkan-serangan-terakhir-hancurkan-hamas-as-cs-warning-ini,"Israel Siapkan Serangan Terakhir Hancurkan Hamas, AS Cs Warning Ini"
https://www.cnbcindonesia.com/news/20240425185543-8-533513/miris-ratusan-jenazah-ditemukan-dalam-kondisi-terikat-di-rs-palestina,Miris! Ratusan Jenazah Ditemukan Dalam Kondisi Terikat di RS Palestina
https://www.cnbcindonesia.com/news/20240424103420-7-532940/potret-demo-guncang-kampus-kampus-as-mahasiswa-ditangkapi-karena-ini,"Potret Demo Guncang Kampus-Kampus AS, Mahasiswa Ditangkapi karena Ini"
https://www.cnbcindonesia.com/news/20240424185907-4-533166/geger-kuburan-massal-di-dua-rumah-sakit-gaza-pbb-serukan-investigasi,"Geger Kuburan Massal di Dua Rumah Sakit Gaza, PBB Serukan Investigasi"
https://www.cnbcindonesia.com/news/20240423202404-8-532787/video-pengunjuk-rasa-pro-palestina-ditangkap-di-new-york-university,Video: Pengunjuk Rasa Pro Palestina Ditangkap di New York University
https://www.cnbcindonesia.com/news/20240423175301-4-532741/israel-gagal-buktikan-badan-pbb-unrwa-bantu-hamas-di-gaza,Israel Gagal Buktikan Badan PBB UNRWA Bantu Hamas di Gaza
https://www.cnbcindonesia.com/news/20240422203132-4-532436/biden-hukum-pasukan-khusus-israel-netanyahu-siap-melawan,"Biden Hukum Pasukan Khusus Israel, Netanyahu Siap Melawan"
https://www.cnbcindonesia.com/news/20240422194403-4-532429/mengenal-netzah-yehuda-pasukan-khusus-israel-yang-digebuk-as,"Mengenal Netzah Yehuda, Pasukan Khusus Israel yang 'Digebuk' AS"
https://www.cnbcindonesia.com/news/20240422173725-8-532380/video-detik--detik-tentara-israel-kena-jebakan-bendera-palestina,Video: Detik - Detik Tentara Israel Kena Jebakan Bendera Palestina
https://www.cnbcindonesia.com/news/20240422172449-4-532371/kecolongan-serangan-hamas-bos-intelijen-militer-israel-resign,"Kecolongan Serangan Hamas, Bos Intelijen Militer Israel Resign"
https://www.cnbcindonesia.com/news/20240422080041-8-532100/video-timur-tengah-memanas-pangkalan-militer-as-di-suriah-diserang,"Video: Timur Tengah Memanas, Pangkalan Militer AS di Suriah Diserang"
https://www.cnbcindonesia.com/research/20240419153224-128-531735/daftar-sekutu-iran-tersebar-di-berbagai-penjuru-dunia,"Daftar Sekutu Iran, Tersebar di Berbagai Penjuru Dunia"
https://www.cnbcindonesia.com/news/20240419160530-4-531746/palestina-gagal-jadi-anggota-penuh-pbb-gegara-as-ini-reaksi-kemlu-ri,"Palestina Gagal Jadi Anggota Penuh PBB Gegara AS, Ini Reaksi Kemlu RI"
https://www.cnbcindonesia.com/news/20240419114033-8-531652/video-rupiah-krisis-lagi-hingga-palestina-gagal-jadi-anggota-ppb,Video: Rupiah Krisis Lagi Hingga Palestina Gagal Jadi Anggota PPB
https://www.cnbcindonesia.com/lifestyle/20240408133220-33-529342/saat-akun-instagram-jungkook-bts-penuh-desakan-dukung-palestina,Saat Akun Instagram JungKook BTS Penuh Desakan Dukung Palestina
https://www.cnbcindonesia.com/news/20240419085224-8-531550/video-as-veto-draf-resolusi-dk-pbb-usulkan-palestina-jadi-anggota-pbb,Video: AS Veto Draf Resolusi DK PBB Usulkan Palestina Jadi Anggota PBB
https://www.cnbcindonesia.com/news/20240418184708-7-531481/waspada-gempuran-iran-israel-siagakan-iron-dome-kapal-perang,"Waspada Gempuran Iran, Israel Siagakan Iron Dome & Kapal Perang"
https://www.cnbcindonesia.com/news/20240419075342-4-531531/hamas-buka-suara-soal-veto-as-tolak-palestina-jadi-anggota-penuh-pbb,Hamas Buka Suara soal Veto AS Tolak Palestina Jadi Anggota Penuh PBB
https://www.cnbcindonesia.com/news/20240419044723-4-531505/palestina-gagal-jadi-anggota-penuh-pbb-kena-veto-amerika-serikat,"Palestina Gagal Jadi Anggota Penuh PBB, Kena Veto Amerika Serikat"
