content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
"16 Oktober 2023, 20:55 WIB",Anneke Sherina Ramadhani,Kompas.com,unknown,"Cegah Perang Meluas, Kapal Induk AS Berlayar Menuju Mediterania Mendekati Israel",unknown,Video,https://video.kompas.com/watch/957977/cegah-perang-meluas-kapal-induk-as-berlayar-menuju-mediterania-mendekati-israel
"16 Oktober 2023, 20:54 WIB",Meiva Jufarani,Kompas.com,unknown,"Gelar Rapat Darurat, Netanyahu Bersumpah Akan Hancurkan Hamas",unknown,Video,https://video.kompas.com/watch/957975/gelar-rapat-darurat-netanyahu-bersumpah-akan-hancurkan-hamas
"16 Oktober 2023, 20:03 WIB",unknown,Kompas.com,unknown,Konflik Semakin Panas! Sejuta Orang Mengungsi dari Gaza,unknown,Video,https://video.kompas.com/watch/957814/konflik-semakin-panas-sejuta-orang-mengungsi-dari-gaza
2023-10-16 20:01:59,Tri Indriawati,Kompas.com,"penyebab konflik israel-palestina, kisah perang, konflik israel dan hamas, perang israel, konflik israel palestina, konflik Israel dan Palestina, 3 Penyebab Konflik Israel-Palestina, Jelaskan 3 Penyebab Konflik Israel-Palestina",3 Penyebab Konflik Israel-Palestina - Kompas.com,632,Standard,http://www.kompas.com/stori/read/2023/10/16/200159779/3-penyebab-konflik-israel-palestina
2023-10-16 20:00:00,Widya Lestari Ningsih,Kompas.com,"Palestina, sejarah dunia, negara yang tidak mengakui palestina, apakah pbb sudah mengakui negara palestina, negara yang mengakui palestina",Negara-Negara yang Tidak Mengakui Palestina - Kompas.com,311,Standard,http://www.kompas.com/stori/read/2023/10/16/200000679/negara-negara-yang-tidak-mengakui-palestina
"16 Oktober 2023, 19:37 WIB",Vina Muthi Ambarwati,Kompas.com,unknown,Penampakan Gumpalan Asap di Langit Gaza Usai Tembakkan Roket dari Israel,unknown,Video,https://video.kompas.com/watch/957802/penampakan-gumpalan-asap-di-langit-gaza-usai-tembakkan-roket-dari-israel
"16 Oktober 2023, 19:19 WIB",unknown,Kompas.com,unknown,"Jenis-jenis Senjata Hamas untuk Serang Israel, Mulai dari Senapan Serbu, Bazoka, hingga Granat",unknown,Video,https://video.kompas.com/watch/957679/jenis-jenis-senjata-hamas-untuk-serang-israel-mulai-dari-senapan-serbu-bazoka-hingga-granat
"16 Oktober 2023, 19:05 WIB",Vina Muthi Ambarwati,Kompas.com,unknown,Puluhan Warga Gaza Antre di Perbatasan Menuju Mesir,unknown,Video,https://video.kompas.com/watch/957665/puluhan-warga-gaza-antre-di-perbatasan-menuju-mesir
"16 Oktober 2023, 18:48 WIB",unknown,Kompas.com,unknown,Momen Suara Ledakan Memecah Keheningan Dinihari di Gaza,unknown,Video,https://video.kompas.com/watch/957651/momen-suara-ledakan-memecah-keheningan-dinihari-di-gaza
"16 Oktober 2023, 18:40 WIB",Rizkia Shindy,Kompas.com,unknown,"Sepak Terjang Benjamin Netanyahu, Pemegang Komando Serangan ke Gaza",unknown,Video,https://video.kompas.com/watch/957649/sepak-terjang-benjamin-netanyahu-pemegang-komando-serangan-ke-gaza
2023-10-16 18:30:00,Kristian Erdianto,Kompas.com,"cek fakta, hoaks politik, kumpulan hoaks, hoaks konflik Israel dan Palestina",Cek Fakta Sepekan: Hoaks Beras Palsu dan Rudal Iran Hancurkan Israel - Kompas.com,450,Standard,http://www.kompas.com/cekfakta/read/2023/10/16/183000882/cek-fakta-sepekan-hoaks-beras-palsu-dan-rudal-iran-hancurkan-israel
"16 Oktober 2023, 18:13 WIB",Musayadah Khusnul Khotimah,Kompas.com,unknown,Suasana Perbatasan Rafah-Mesir Dipadati Warga Pengungsi Gaza,unknown,Video,https://video.kompas.com/watch/957501/suasana-perbatasan-rafah-mesir-dipadati-warga-pengungsi-gaza
"16 Oktober 2023, 17:36 WIB",Bernadetha Nadia Deni Ananda,Kompas.com,unknown,Kemenkes Palestina Ungkap RS Gaza Darurat Stok Donor Darah,unknown,Video,https://video.kompas.com/watch/957453/kemenkes-palestina-ungkap-rs-gaza-darurat-stok-donor-darah
2023-10-16 16:00:00,Rizal Setyo Nugroho,Kompas.com,"Israel, Palestina, Hamas, Gaza, perang Israel vs Hamas",Nasib Warga Palestina di Israel: Diskors dari Pekerjaan dan Sekolah - Kompas.com,534,Standard,http://www.kompas.com/tren/read/2023/10/16/160000165/nasib-warga-palestina-di-israel--diskors-dari-pekerjaan-dan-sekolah
2023-10-16 16:00:00,Tri Indriawati,Kompas.com,"sejarah dunia, bangsa palestina, Asal-usul Bangsa Palestina, dari mana asal bangsa palestina, bagaimana Asal-usul Bangsa Palestina, sejarah bangsa palestina",Asal-usul Bangsa Palestina - Kompas.com,374,Standard,http://www.kompas.com/stori/read/2023/10/16/160000379/asal-usul-bangsa-palestina
"16 Oktober 2023, 15:55 WIB",Meiva Jufarani,Kompas.com,unknown,Presiden Palestina Mahmoud Abbas Sebut Hamas Tak Mewakili Rakyat Palestina,unknown,Video,https://video.kompas.com/watch/956919/presiden-palestina-mahmoud-abbas-sebut-hamas-tak-mewakili-rakyat-palestina
2023-10-16 15:34:33,Dani Prabowo,Kompas.com,"Israel, Palestina, perang israel palestina, two state solution ","Konflik Israel-Palestina, Indonesia Dorong Penyelesaian ""Two State Solution"" - Kompas.com",305,Standard,http://nasional.kompas.com/read/2023/10/16/15343301/konflik-israel-palestina-indonesia-dorong-penyelesaian-two-state-solution
"16 Oktober 2023, 14:51 WIB",unknown,Kompas.com,unknown,"Israel Terus Gempur Gaza dari Udara, Hancurkan 250 Target Militernya",unknown,Video,https://video.kompas.com/watch/956713/israel-terus-gempur-gaza-dari-udara-hancurkan-250-target-militernya
"16 Oktober 2023, 14:35 WIB",unknown,Kompas.com,unknown,Momen Ledakan Besar yang Memecah Keheningan Gaza Dinihari Tadi,unknown,Video,https://video.kompas.com/watch/956661/momen-ledakan-besar-yang-memecah-keheningan-gaza-dinihari-tadi
"16 Oktober 2023, 14:05 WIB",unknown,Kompas.com,unknown,Penduduk Gaza Antre untuk Dapat Air hingga Rebutan Roti #Shorts,unknown,Video,https://video.kompas.com/watch/956470/penduduk-gaza-antre-untuk-dapat-air-hingga-rebutan-roti-shorts
"16 Oktober 2023, 13:34 WIB",unknown,Kompas.com,unknown,Mesir Buka Penyeberangan Rafah untuk Koridor Kemanusiaan ke Gaza,unknown,Video,https://video.kompas.com/watch/956417/mesir-buka-penyeberangan-rafah-untuk-koridor-kemanusiaan-ke-gaza
2023-10-16 13:26:54,Sandro Gatra,Kompas.com,"Pertempuran Israel dan Hamas, konflik Israel dan Palestina, konflik Israel-Gaza, Frankfurt Book Fair 2023","Mundurnya Indonesia dari ""Frankfurt Book Fair 2023"" - Kompas.com",944,Kolom,http://www.kompas.com/global/read/2023/10/16/132654470/mundurnya-indonesia-dari-frankfurt-book-fair-2023
"16 Oktober 2023, 13:23 WIB",Bernadetha Nadia Deni Ananda,Kompas.com,unknown,"Israel Membabi-buta, Gaza Mencekam dan Operasi Serangan Darat Dikerahkan",unknown,Video,https://video.kompas.com/watch/956289/israel-membabi-buta-gaza-mencekam-dan-operasi-serangan-darat-dikerahkan
"16 Oktober 2023, 13:17 WIB",Meiva Jufarani,Kompas.com,unknown,Netanyahu Bersumpah Akan Hancurkan Hamas,unknown,Video,https://video.kompas.com/watch/956284/gelar-rapat-darurat-netanyahu-bersumpah-akan-hancurkan-hamas
"16 Oktober 2023, 13:04 WIB",unknown,Kompas.com,unknown,Kemenlu RI Ungkap Kondisi di Gaza Mengkhawatirkan,unknown,Video,https://video.kompas.com/watch/956272/kemenlu-ri-ungkap-kondisi-di-gaza-mengkhawatirkan
"16 Oktober 2023, 13:02 WIB",unknown,Kompas.com,unknown,Hanya Ada 4 WNI yang Bersedia Dievakuasi dari Israel,unknown,Video,https://video.kompas.com/watch/956268/hanya-ada-4-wni-yang-bersedia-dievakuasi-dari-israel
"16 Oktober 2023, 12:47 WIB",Adinda Septia Berliana,Kompas.com,unknown,Kondisi Perbatasan Lebanon-Israel Usai Hizbullah Menyerang,unknown,Video,https://video.kompas.com/watch/956255/kondisi-perbatasan-lebanon-israel-usai-hizbullah-menyerang
"16 Oktober 2023, 11:51 WIB",Musayadah Khusnul Khotimah,Kompas.com,unknown,"Kondisi Gaza Mencekam, Ukraina Berupaya Evakuasi 260 Warganya ke Romania",unknown,Video,https://video.kompas.com/watch/956048/kondisi-gaza-mencekam-ukraina-berupaya-evakuasi-260-warganya-ke-romania
"16 Oktober 2023, 10:08 WIB",unknown,Kompas.com,unknown,Putin Tak Terima Warga Sipil Palestina Jadi Korban Serangan Darat Israel,unknown,Video,https://video.kompas.com/watch/955738/putin-tak-terima-warga-sipil-palestina-jadi-korban-serangan-darat-israel
"16 Oktober 2023, 09:38 WIB",unknown,Kompas.com,unknown,"Update Perang Hamas-Israel, Korban Tewas Hampir 4.000 Orang",unknown,Video,https://video.kompas.com/watch/955727/update-perang-hamas-israel-korban-tewas-hampir-4000-orang
2023-10-16 05:45:00,Sandro Gatra,Kompas.com,"perang hamas israel, serangan Israel, konflik Israel dan Palestina, konflik Israel-Gaza",Reaksi Israel dan Potensi Blunder Geopolitik Amerika - Kompas.com,1651,Kolom,http://www.kompas.com/global/read/2023/10/16/054500070/reaksi-israel-dan-potensi-blunder-geopolitik-amerika
"15 Oktober 2023, 22:18 WIB",unknown,Kompas.com,unknown,Detik-detik Tank Israel Serang Kelompok Militan Palestina di Gaza,unknown,Video,https://video.kompas.com/watch/955297/detik-detik-tank-israel-serang-kelompok-militan-palestina-di-gaza
"15 Oktober 2023, 21:20 WIB",unknown,Kompas.com,unknown,Barcelona dan Napoli Gelar Aksi Solidaritas untuk Palestina,unknown,Video,https://video.kompas.com/watch/955208/barcelona-dan-napoli-gelar-aksi-solidaritas-untuk-palestina
2023-10-15 21:00:00,Rizal Setyo Nugroho,Kompas.com,"Israel, Palestina, Yahudi, Hamas, sejarah , konflik Israel dan Palestina",Panduan Memahami Konflik Israel-Palestina yang Berlangsung 100 Tahun - Kompas.com,1327,Standard,http://www.kompas.com/tren/read/2023/10/15/210000565/panduan-memahami-konflik-israel-palestina-yang-berlangsung-100-tahun
"15 Oktober 2023, 20:03 WIB",unknown,Kompas.com,unknown,"Militer Israel Bersiap Operasi Serangan Darat, Nasib Warga Gaza Terancam!",unknown,Video,https://video.kompas.com/watch/955117/militer-israel-bersiap-operasi-serangan-darat-nasib-warga-gaza-terancam
2023-10-15 19:30:00,Rizal Setyo Nugroho,Kompas.com,"Israel, Hamas, Gaza, perang Hamas vs Israel, serangan Israel, warga Gaza mengungsi",Krisis Air dan Eksodus Warga Palestina Usai Israel Akan Gempur Gaza - Kompas.com,714,Standard,http://www.kompas.com/tren/read/2023/10/15/193000765/krisis-air-dan-eksodus-warga-palestina-usai-israel-akan-gempur-gaza
2023-10-15 17:52:23,Sandro Gatra,Kompas.com,"perang hamas israel, Pertempuran Israel dan Hamas",Doa untuk Perdamaian Israel-Palestina - Kompas.com,355,Kolom,http://www.kompas.com/tren/read/2023/10/15/175223965/doa-untuk-perdamaian-israel-palestina
"15 Oktober 2023, 17:35 WIB",unknown,Kompas.com,unknown,"Telepon Presiden Palestina, Biden Tawarkan Bantuan Kemanusiaan untuk Warga Gaza",unknown,Video,https://video.kompas.com/watch/954911/telepon-presiden-palestina-biden-tawarkan-bantuan-kemanusiaan-untuk-warga-gaza
"15 Oktober 2023, 15:30 WIB",unknown,Kompas.com,unknown,Ada yang Diincar Israel Menginvasi Gaza di Jalur Darat,unknown,Video,https://video.kompas.com/watch/954598/ada-yang-diincar-israel-menginvasi-gaza-di-jalur-darat
"15 Oktober 2023, 14:59 WIB",unknown,Kompas.com,unknown,"Barisan Tank Israel di Perbatasan Lebanon, Siap Serang HIzbullah? #Shorts",unknown,Video,https://video.kompas.com/watch/954515/barisan-tank-israel-di-perbatasan-lebanon-siap-serang-hizbullah-shorts
"15 Oktober 2023, 14:55 WIB",unknown,Kompas.com,unknown,Perang Israel-Hamas Jadi Ujian Diplomasi bagi China dan India,unknown,Video,https://video.kompas.com/watch/954514/perang-israel-hamas-jadi-ujian-diplomasi-bagi-china-dan-india
2023-10-15 13:39:48,Fabian Januarius Kuwado,Kompas.com,"sejak kapan konflik israel dan palestina terjadi, Sudah Berapa Lama Konflik Israel dan Palestina?, hoaks konflik Israel dan Palestina, relawan ke palestina","Cak Imin: AMIN Menang, Kita Selamatkan Palestina! - Kompas.com",351,Standard,http://nasional.kompas.com/read/2023/10/15/13394881/cak-imin-amin-menang-kita-selamatkan-palestina
"15 Oktober 2023, 12:28 WIB",Deta Putri Setyanto,Kompas.com,unknown,"Jejak Genetik Israel dan Palestina, Benarkah Masih Satu Garis Leluhur?",unknown,Video,https://video.kompas.com/watch/954178/jejak-genetik-israel-dan-palestina-benarkah-masih-satu-garis-leluhur
2023-10-14 18:50:32,Muhamad Syahrial,Kompas.com,"aksi bela Palestina, perang israel hamas palestina, Konflik antara Palestina dan Israel, aksi bela palestina di bandung, relawan ke palestina","Aksi Bela Palestina Bakal Digelar di Bandung, Massa Tuntut Pemerintah Fasilitasi Relawan - Kompas.com",309,Standard,http://bandung.kompas.com/read/2023/10/14/185032578/aksi-bela-palestina-bakal-digelar-di-bandung-massa-tuntut-pemerintah
2023-10-14 18:25:00,Aditya Jaya Iswara,Kompas.com,"perang hamas israel, hamas vs israel, konflik israel palestina, perang Israel vs Hamas",Indonesia Akan Angkat Persoalan Palestina di Dewan HAM PBB - Kompas.com,1344,Standard,http://www.kompas.com/global/read/2023/10/14/182500770/indonesia-akan-angkat-persoalan-palestina-di-dewan-ham-pbb
2023-10-14 17:58:10,Bayu Galih,Kompas.com,"cek fakta, konteks keliru, hoaks konflik Israel dan Palestina, hoaks di tengha konflik",13 Konten Salah Konteks Terkait Konflik Israel-Palestina - Kompas.com,811,Standard,http://www.kompas.com/cekfakta/read/2023/10/14/175810082/13-konten-salah-konteks-terkait-konflik-israel-palestina
2023-10-14 17:09:00,Aditya Jaya Iswara,Kompas.com,"nakba, Mahmud Abbas, perang Hamas Israel, perang Israel vs Hamas, Hamas vs Israel terbaru",Presiden Palestina Peringatkan Potensi Nakba Kedua di Gaza - Kompas.com,241,Standard,http://www.kompas.com/global/read/2023/10/14/170900870/presiden-palestina-peringatkan-potensi-nakba-kedua-di-gaza
"14 Oktober 2023, 15:36 WIB",Bernadetha Nadia Deni Ananda,Kompas.com,unknown,"Suasana Gaza Dini Hari Tadi, Rudal Israel Bergemuruh Terus-menerus",unknown,Video,https://video.kompas.com/watch/953053/suasana-gaza-dini-hari-rudal-israel-bergemuruh-terus-menerus
"14 Oktober 2023, 15:27 WIB",unknown,Kompas.com,unknown,"Warga Semarang Gelar Aksi Bela Palestina, Minta Pemerintah Indonesia Beri Bantuan",unknown,Video,https://video.kompas.com/watch/952968/warga-semarang-gelar-aksi-bela-palestina-minta-pemerintah-indonesia-beri-bantuan
"14 Oktober 2023, 14:40 WIB",Bernadetha Nadia Deni Ananda,Kompas.com,unknown,"Putin Curigai Ukraina Jual Senjata ke Palestina, Dikaitkan Isu Korupsi Kyiv",unknown,Video,https://video.kompas.com/watch/952929/putin-curigai-ukraina-jual-senjata-ke-palestina-dikaitkan-isu-korupsi-kyiv
"14 Oktober 2023, 14:34 WIB",Bernadetha Nadia Deni Ananda,Kompas.com,unknown,Saat Militer Israel Cegat Rudal di Perbatasan Selatan dengan Jalur Gaza,unknown,Video,https://video.kompas.com/watch/952911/saat-militer-israel-cegat-rudal-di-perbatasan-selatan-dengan-jalur-gaza
2023-10-14 14:00:00,Tri Indriawati,Kompas.com,"masjid al aqsa, sejarah dunia, sejarah masjid al aqsa, siapa yang membangun masjid al aqsa, kebakaran masjd al aqsa","Sejarah Masjid Al Aqsa, Jadi Rebutan Israel dan Palestina - Kompas.com",850,Standard,http://www.kompas.com/stori/read/2023/10/14/140000479/sejarah-masjid-al-aqsa-jadi-rebutan-israel-dan-palestina
"14 Oktober 2023, 10:48 WIB",unknown,Kompas.com,unknown,"PBB Minta Israel Batalkan Perintah Pemindahan 1,1 Juta Penduduk Gaza",unknown,Video,https://video.kompas.com/watch/952377/pbb-minta-israel-batalkan-perintah-pemindahan-11-juta-penduduk-gaza
"14 Oktober 2023, 10:31 WIB",unknown,Kompas.com,unknown,Jurnalis Reuters Tewas akibat Serangan Israel di Lebanon,unknown,Video,https://video.kompas.com/watch/952367/jurnalis-reuters-tewas-akibat-serangan-israel-di-lebanon
2023-10-14 10:19:41,Bayu Galih,Kompas.com,"Jalur Gaza, Hamas, infografik","INFOGRAFIK: Mengenal Jalur Gaza, Wilayah Palestina yang Dikendalikan Hamas - Kompas.com",173,Standard,http://www.kompas.com/cekfakta/read/2023/10/14/101941482/infografik-mengenal-jalur-gaza-wilayah-palestina-yang-dikendalikan
"14 Oktober 2023, 09:46 WIB",Hanindiya Dwi Lestari,Kompas.com,unknown,Human Rights Watch Tuding Israel Serang Gaza dengan Bom Fosfor,unknown,Video,https://video.kompas.com/watch/952274/human-rights-watch-tuding-israel-serang-gaza-dengan-bom-fosfor
2023-10-14 09:41:47,Bagus Santosa,Kompas.com,"Israel, Palestina, prabowo subianto","Menhan: Sikap Saya dan Pemerintah Jelas, Dukung Perjuangan Palestina - Kompas.com",257,Standard,http://nasional.kompas.com/read/2023/10/14/09414731/menhan-sikap-saya-dan-pemerintah-jelas-dukung-perjuangan-palestina
2023-10-14 05:00:00,Muhamad Syahrial,Kompas.com,"aksi bela Palestina, ridwan kamil, perang israel hamas palestina, update Israel vs Hamas, konflik hamas-israel",Kondisi Masjid Rancangan Ridwan Kamil di Palestina - Kompas.com,425,Standard,http://bandung.kompas.com/read/2023/10/14/050000778/kondisi-masjid-rancangan-ridwan-kamil-di-palestina
"13 Oktober 2023, 19:23 WIB",unknown,Kompas.com,unknown,Kemenlu RI Ungkap Kondisi Gaza Mengkhawatirkan,unknown,Video,https://video.kompas.com/watch/951394/kemenlu-ri-ungkap-kondisi-di-gaza-mengkhawatirkan
"13 Oktober 2023, 19:04 WIB",Meiva Jufarani,Kompas.com,unknown,Menlu AS Anthony Blinken Temui Presiden Palestina,unknown,Video,https://video.kompas.com/watch/951368/menlu-as-anthony-blinken-temui-presiden-palestina
"13 Oktober 2023, 18:52 WIB",unknown,Kompas.com,unknown,143 WNI Masih Tinggal di Wilayah Konflik Israel-Palestina,unknown,Video,https://video.kompas.com/watch/951363/143-wni-masih-tinggal-di-wilayah-konflik-israel-palestina
