;content_title
77;Sepakat Gencatan Senjata, Israel-Hamas Akan Bebaskan Sandera dan Tahanan
78;MER-C Klarifikasi 3 Relawannya yang Disebut Ditangkap Tentara Israel di Gaza
79;Apa yang Dimaksud Kutukan 80 Tahun Israel?   
80;Tak Ada Penangkapan 3 WNI di Gaza, Kemenlu: Mereka Masih di RS Indonesia   
81;WHO Rencanakan Evakuasi Korban dan Staf Medis Rumah Sakit Besar di Gaza
82;Menumpang Tidur di Masjid, Pemuda di Kepri Curi Infak Peduli Palestina   
83;Galang Dana dari Masyarakat dan ASN Riau, Plt Gubernur Edy Serahkan Donasi Rp 5,641 Miliar untuk Palestina   
84;Menlu Retno Tegaskan Israel Tak Bisa Pakai Alasan Self Defense untuk Serang Palestina   
85;Jenazah Korban Serangan Israel Bergelimpangan di Bawah Reruntuhan Bangunan di Gaza
86;Hamas Jelaskan Teknis Gencatan Senjata dengan Israel
87;Gencatan Senjata 4 Hari, Hamas Minta Israel Bebaskan 150 Tahanan Wanita dan Anak Palestina
88;Menlu Retno: Alasan Israel  Membela Diri Tidak Dapat Diterima
89;Pemerintah Masih Hilang Kontak dengan 3 WNI di Palestina Setelah RS Indonesia Diserang Israel   
90;Penampakan Truk-truk Pembawa Bantuan Masuki Gaza Lewat Rafah
91;Suara Rentetan Tembakan Menggema di Jalanan Khan Younis #Shorts
92;AS Serang 5 Rudal Houthi Yaman, Diidentifikasi sebagai Ancaman
93;Menhan Israel: Tekanan terhadap Hamas Berhasil
94;Situasi Tegang di Khan Younis, Suara Rentetan Tembakan Menggema di Jalanan Sepi
95;Netanyahu: Israel Lumpuhkan 17 dari 24 Batalion Tempur Hamas
96;Identifikasi sebagai Ancaman, Pasukan AS Serang 5 Rudal Houthi Yaman   
97;Tentara Israel Serang Markas Hamas di Khan Younis Gaza Selatan
98;Kenapa Afrika Selatan Menuduh Israel Melakukan Genosida? #Shorts
99;Babak Baru Tuduhan Genosida Israel atas Kekejaman di Gaza
100;Ribuan Orang Gelar Aksi Solidaritas Palestina di Yaman
101;AS Beri Serangan Balasan ke Unit Iran ke Irak dan Suriah
102;Ini 30 Kapal yang Diserang Houthi Yaman di Laut Merah, 1 Berhasil Dibajak   
103;Menhan AS: Ini Waktunya untuk Balas Serangan Antek-antek Iran
104;Menhan Israel Klaim Hamas Tak Punya Sumber Daya Tempur Lagi
