article_link,date_time,article_title
https://news.detik.com/foto-news/d-6988332/penampakan-permukiman-israel-yang-terkena-roket-hamas,18 Okt 2023 12:00 WIB,Penampakan Permukiman Israel yang Terkena Roket Hamas
https://news.detik.com/detiktv/d-6988306/israel-bom-rs-di-gaza-presiden-palestina-ini-pembantaian,18 Okt 2023 10:45 WIB,"Israel Bom RS di Gaza, Presiden Palestina: Ini Pembantaian"
https://news.detik.com/foto-news/d-6988201/aksi-di-berbagai-negara-kutuk-serangan-israel-atas-rs-gaza,18 Okt 2023 10:30 WIB,Aksi di Berbagai Negara Kutuk Serangan Israel atas RS Gaza
https://health.detik.com/berita-detikhealth/d-6988156/who-kutuk-keras-serangan-israel-ke-rs-gaza-layanan-kesehatan-harus-dilindungi,18 Okt 2023 09:32 WIB,WHO Kutuk Keras Serangan Israel ke RS Gaza: Layanan Kesehatan Harus Dilindungi!
https://www.detik.com/bali/hukum-dan-kriminal/d-6988112/israel-serang-bombardir-rumah-sakit-di-gaza-ratusan-orang-tewas,18 Okt 2023 09:07 WIB,"Israel Serang-Bombardir Rumah Sakit di Gaza, Ratusan Orang Tewas!"
https://health.detik.com/berita-detikhealth/d-6988091/pilu-rudal-israel-hantam-rs-di-gaza-500-orang-tewas,18 Okt 2023 09:01 WIB,"Pilu! Rudal Israel Hantam RS di Gaza, 500 Orang Tewas"
https://inet.detik.com/cyberlife/d-6987617/sedih-industri-teknologi-palestina-hancur-dibombardir-israel,18 Okt 2023 07:45 WIB,"Sedih, Industri Teknologi Palestina Hancur Dibombardir Israel"
https://news.detik.com/internasional/d-6987963/kepala-uni-afrika-kecam-serangan-israel-ke-rs-di-gaza-kejahatan-perang,18 Okt 2023 05:34 WIB,Kepala Uni Afrika Kecam Serangan Israel ke RS di Gaza: Kejahatan Perang!
https://news.detik.com/internasional/d-6987951/israel-tuding-serangan-di-rs-gaza-berasal-dari-roket-militer-palestina,18 Okt 2023 04:43 WIB,Israel Tuding Serangan di RS Gaza Berasal dari Roket Militer Palestina
https://news.detik.com/internasional/d-6987942/who-kutuk-serangan-israel-ke-rumah-sakit-di-gaza,18 Okt 2023 03:00 WIB,WHO Kutuk Serangan Israel ke Rumah Sakit di Gaza!
https://www.detik.com/jabar/berita/d-6986321/penampakan-monster-besi-israel-untuk-invasi-gaza,18 Okt 2023 03:00 WIB,Penampakan 'Monster Besi' Israel untuk Invasi Gaza
https://news.detik.com/internasional/d-6987938/israel-serang-rumah-sakit-di-gaza-500-orang-dilaporkan-tewas,18 Okt 2023 01:39 WIB,"Israel Serang Rumah Sakit di Gaza, 500 Orang Dilaporkan Tewas"
https://health.detik.com/detiktv/d-6987659/risiko-yang-mengancam-kesehatan-warga-gaza-imbas-krisis-air,17 Okt 2023 20:07 WIB,Risiko yang Mengancam Kesehatan Warga Gaza Imbas Krisis Air
https://news.detik.com/internasional/d-6987657/kala-biden-hendak-ke-israel-dan-putin-melawat-ke-china,17 Okt 2023 20:07 WIB,Kala Biden Hendak ke Israel dan Putin Melawat ke China
https://www.detik.com/sumbagsel/berita/d-6987191/aksi-bela-palestina-di-pangkalpinang-massa-minta-negara-islam-kirim-tentara,17 Okt 2023 20:04 WIB,"Aksi Bela Palestina di Pangkalpinang, Massa Minta Negara Islam Kirim Tentara"
https://news.detik.com/berita/d-6987442/zulhas-ungkap-pertemuan-jokowi-xi-jinping-dukung-kemerdekaan-palestina,17 Okt 2023 18:40 WIB,Zulhas Ungkap Pertemuan Jokowi & Xi Jinping Dukung Kemerdekaan Palestina
https://www.detik.com/sumut/berita/d-6987161/gigi-hadid-tak-mundur-bela-palestina-meski-dikecam-israel,17 Okt 2023 18:30 WIB,Gigi Hadid Tak Mundur Bela Palestina Meski Dikecam Israel
https://wolipop.detik.com/entertainment-news/d-6987236/bela-palestina-gigi-hadid-dikecam-pemerintah-israel,17 Okt 2023 17:40 WIB,"Bela Palestina, Gigi Hadid Dikecam Pemerintah Israel"
https://www.detik.com/jabar/berita/d-6986629/dukungan-dan-doa-manis-untuk-palestina-dari-ciamis,17 Okt 2023 17:30 WIB,Dukungan dan Doa Manis untuk Palestina dari Ciamis
https://sport.detik.com/sepakbola/bola-dunia/d-6986908/aljazair-bakal-jadi-rumah-baru-timnas-palestina,17 Okt 2023 17:20 WIB,Aljazair Bakal Jadi 'Rumah Baru' Timnas Palestina
https://travel.detik.com/travel-news/d-6987096/gereja-tertua-gaza-saksi-muslim-dan-kristen-palestina-berlindung-dari-perang,17 Okt 2023 16:39 WIB,"Gereja Tertua Gaza, Saksi Muslim dan Kristen Palestina Berlindung dari Perang"
https://sport.detik.com/sepakbola/gila-bola/d-6986764/marc-klok-ke-warga-palestina-anda-berhak-dapat-kebebasan,17 Okt 2023 15:40 WIB,Marc Klok ke Warga Palestina: Anda Berhak Dapat Kebebasan!
https://hot.detik.com/celeb/d-6986534/dikecam-israel-usai-dukung-palestina-gigi-hadid-tak-akan-mundur,17 Okt 2023 15:34 WIB,"Dikecam Israel Usai Dukung Palestina, Gigi Hadid Tak Akan Mundur"
https://www.detik.com/edu/detikpedia/d-6986717/frankfurt-book-fair-dukung-israel-indonesia-batal-hadir,17 Okt 2023 14:00 WIB,"Frankfurt Book Fair Dukung Israel, Indonesia Batal Hadir"
https://sport.detik.com/sepakbola/detiktv/d-6986681/bayern-munich-akan-panggil-beknya-mazraoui-buntut-dukung-palestina,17 Okt 2023 13:45 WIB,Bayern Munich Akan Panggil Beknya Mazraoui Buntut Dukung Palestina
https://hot.detik.com/celeb/d-6986402/pete-davidson-disorot-usai-bahas-perang-hingga-cerita-ayahnya-korban-9-11,17 Okt 2023 13:39 WIB,Pete Davidson Disorot Usai Bahas Perang hingga Cerita Ayahnya Korban 9/11
