article_link,article_title
https://www.cnbcindonesia.com/lifestyle/20231228191131-33-501086/8-brand-yang-diboikot-di-2023-karena-dituduh-dukung-israel,8 Brand yang Diboikot di 2023 karena Dituduh Dukung Israel
https://www.cnbcindonesia.com/news/20231229080952-8-501164/korsel-murka-ke-israel-video-ini-penyebabnya,"Korsel Murka ke Israel, Video Ini Penyebabnya"
https://www.cnbcindonesia.com/news/20231229055619-4-501128/12-update-baru-perang-gaza-hizbullah-bom-israel,12 Update Baru Perang Gaza: Hizbullah Bom Israel
https://www.cnbcindonesia.com/news/20231228183815-7-501072/israel-makin-menggila-di-gaza-tank-dan-sniper-merajalela,"Israel Makin Menggila di Gaza, Tank dan Sniper Merajalela"
https://www.cnbcindonesia.com/news/20231228174228-4-501054/kapolri-bicara-efek-krisis-pangan-hingga-perang-hamas-israel,Kapolri Bicara Efek Krisis Pangan Hingga Perang Hamas-Israel
https://www.cnbcindonesia.com/news/20231228143744-4-500962/seruan-rusia-untuk-perang-israel-hamas-palestina-merdeka,Seruan Rusia untuk Perang Israel-Hamas: Palestina Merdeka!
https://www.cnbcindonesia.com/news/20231227201955-7-500745/potret-warga-gaza-kibarkan-bendera-putih-perintah-israel,Potret Warga Gaza Kibarkan Bendera Putih Perintah Israel
https://www.cnbcindonesia.com/news/20231228125822-4-500922/update-perang-gaza-korban-tewas-menggila-21110-jiwa,"Update Perang Gaza, Korban Tewas ""Menggila"" 21.110 Jiwa"
https://www.cnbcindonesia.com/news/20231228123251-4-500917/situasi-terkini-gaza-israel-pusatkan-serangan-di-wilayah-ini,"Situasi Terkini Gaza, Israel Pusatkan Serangan di Wilayah Ini"
https://www.cnbcindonesia.com/news/20231228072114-4-500790/israel-jual-organ-jenazah-warga-palestina-ini-faktanya,Israel Jual Organ Jenazah Warga Palestina? Ini Faktanya
https://www.cnbcindonesia.com/news/20231227180604-7-500702/potret-keji-israel-kirim-80-jenazah-warga-palestina,Potret Keji! Israel Kirim 80 Jenazah Warga Palestina
https://www.cnbcindonesia.com/news/20231228055545-4-500775/israel-ultimatum-hizbullah-perang-skala-penuh-ancam-lebanon,"Israel Ultimatum Hizbullah, Perang Skala Penuh Ancam Lebanon"
https://www.cnbcindonesia.com/news/20231228051225-4-500769/erdogan-samakan-netanyahu-dengan-hitler-dibalas-begini,"Erdogan Samakan Netanyahu dengan Hitler, Dibalas Begini"
